gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
LOC103813598	0.5380582620421125	1.3044818367697606	0.4124689565433015	0.6799957297844585	103813598	SH3 domain binding protein 1	SH3BP1	SH3BP1	SH3 domain binding protein 1	SH3BP1	103813598	0.736815384850601	103813598	0.2998689269272169	2.025932898479365	6.08734532946704	0.015286511174450554	0.092226082342705
LOC103813599	2.1629984818605146	2.6388230123119265	0.81968304496688	0.4123968180681375	103813599	NA	NA	PDXP	pyridoxal phosphatase	PDXP	103813599	0.4835423749044469	103813599	-0.012565367558607482	1.496773354702006	0.025447383735807995	0.8735745815880457	0.9355502878473094
LOC103813600	8.887661465414023	5.234265031606197	1.6979769674916017	0.08951210903808056	103813600	NA	NA	LOC103813600	urotensin-2 receptor-like	LOC103813600	103813600	0.1579754812587004	103813600	-0.32619896384500924	-1.3378808531903361	2.9435061508871123	0.08857833537331489	0.2599247005093667
LOC103813602	-1.434428616811249	1.3195462869779582	-1.0870619931767576	0.27700941320747563	103813602	ankyrin repeat domain 54	ANKRD54	ANKRD54	ankyrin repeat domain 54	ANKRD54	103813602	0.34230277645757606	103813602	-0.051509701528058276	8.740699015112932	0.9017432865226431	0.34456318649146966	0.5662645109724289
LOC103813603	1.7987595662394003	0.8344310158456376	2.1556719873559387	0.031109287028899327	103813603	MICAL like 1	MICALL1	MICALL1	MICAL like 1	MICALL1	103813603	0.08260086772657937	103813603	-0.10965640984068534	6.701365119239684	2.190043376378092	0.14199286132549074	0.33866042143933694
LOC103813604	2.7993830452460586	2.549588512380558	1.09797445025051	0.2722156460608376	103813604	phospholipase A2 group VI	PLA2G6	PLA2G6	phospholipase A2 group VI	PLA2G6	103813604	0.33691162587212264	103813604	0.12849325036984655	2.2771397877681325	2.4098922547747605	0.12367733014766014	0.3126741675310546
LOC103813606	-1.3474786524970626	0.7790371515015063	-1.7296718775220787	0.08368891595187813	103813606	DEAD-box helicase 17	DDX17	DDX17	DEAD-box helicase 17	DDX17	103813606	0.1579754812587004	103813606	-0.03564054772610217	10.801388023141422	0.27070805355362526	0.6039866669421432	0.7683774895683123
LOC103813607	-1.3060447778728042	1.457537062204361	-0.8960628252550629	0.3702192101176342	103813607	cyclin E2	CCNE2	CCNE2	cyclin E2	CCNE2	103813607	0.44093795505667444	103813607	0.006491051739279317	2.3021614674705644	0.0026624144384492583	0.958949758598139	0.9809787265451008
LOC103813608	-0.3228616412817628	1.4453528120859482	-0.22337912140344857	0.8232404525207948	103813608	translocase of outer mitochondrial membrane 22	TOMM22	TOMM22	translocase of outer mitochondrial membrane 22	TOMM22	103813608	0.8588401810462231	103813608	-8.630915208472603e-4	5.952259332535573	5.998302089149613e-4	0.980508552591208	0.9919605434724178
LOC103813609	-0.16786300555875314	1.1625500922137133	-0.14439206248662412	0.8851908843472512	103813609	extracellular serine/threonine protein kinase FAM20C-like	NA	LOC103813609	extracellular serine/threonine protein kinase FAM20C-like	LOC103813609	103813609	0.9093410142249436	103813609	0.05044311681841552	3.3423325993987	0.36156902473730945	0.5489729343432479	0.7273479857284787
LOC103813611	4.201763354134246	2.029217558601408	2.0706322672617796	0.038393174349348705	103813611	NA	NA	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1	TAB1	103813611	0.09809580398187807	103813611	-0.08726381035996648	4.084100225691672	3.546210131369096	0.06253599825264568	0.2091691099244789
LOC103813613	2.3760288518339117	0.823851703507476	2.8840492065722243	0.003925974025903307	103813613	NA	NA	PHF5A	PHD finger protein 5A	PHF5A	103813613	0.023293306884048678	103813613	-0.2588697024960369	5.522614573300622	13.001474276345517	4.8393378989316106e-4	0.016148998245155796
LOC103813616	-0.15386055442561844	0.7151269472923635	-0.21515138676869916	0.8296492910400723	103813616	tumor necrosis factor receptor superfamily member 13C-like	NA	LOC103813616	tumor necrosis factor receptor superfamily member 13C-like	LOC103813616	103813616	0.8642081413029326	103813616	0.5881473376271495	2.873448729610263	8.578208750904375	0.004199195326322794	0.04739402046689449
LOC103813617	3.307359125744144	5.080192571943997	0.6510302668464678	0.5150269490829961	103813617	centromere protein M	CENPM	CENPM	centromere protein M	CENPM	103813617	0.5841241743071189	103813617	-0.2571723840659565	-1.339824028219166	1.8142542289704284	0.18035430599022736	0.38842013111498414
LOC103813619	-1.9397727104446867	1.7115166488876856	-1.1333647918092673	0.2570610931367491	103813619	NA	NA	WBP2NL	WBP2 N-terminal like	WBP2NL	103813619	0.3203896117541763	103813619	-0.017935961539219662	9.061282299114914	0.14969796399599833	0.6996316124617784	0.8336003731886299
LOC103813620	1.3422797195615592	1.0840348240242814	1.2382256453520477	0.21563240496520758	103813620	NA	NA	SMDT1	single-pass membrane protein with aspartate rich tail 1	SMDT1	103813620	0.27499706302445526	103813620	-0.0766939577929565	6.6484269973996994	1.8441066186599913	0.17747201070268523	0.3846930535867143
LOC103813621	1.1888830383219844	1.6801905335672942	0.7075882256030862	0.47920100686724076	103813621	suppressor of cytokine signaling 1-like	NA	LOC103813621	suppressor of cytokine signaling 1-like	LOC103813621	103813621	0.5495714429823643	103813621	0.13763582778557493	-0.09239889068747863	0.8774753690620083	0.3511734157521833	0.5729008459670147
LOC103813622	-2.680756757912368	1.3226220609285497	-2.0268501767090874	0.04267773717037211	103813622	NA	NA	RRP7A	ribosomal RNA processing 7 homolog A	RRP7A	103813622	0.10671141317354933	103813622	0.11131902434215125	2.60561299926741	3.2409201746022243	0.07478360741418455	0.23339670898438952
LOC103813623	-0.093824679892061	0.2501354253873381	-0.3750955297386295	0.7075894214873659	103813623	NA	NA	LOC103813623	uncharacterized LOC103813623	LOC103813623	103813623	0.7612631824475302	103813623	0.7816944895597427	3.498125425715998	5.652972389521649	0.019293208646755784	0.10491046397017315
LOC103813624	-0.13244491740807623	0.20006103432436242	-0.6620225565431247	0.5079567657652189	103813624	heat shock 70 kDa protein 12A-like	NA	LOC103813624	heat shock 70 kDa protein 12A-like	LOC103813624	103813624	0.5771421014303827	103813624	0.9398920026722709	5.496666155923621	6.106174045818776	0.015130785307551662	0.09164117139102045
LOC103813625	-5.16797162523093	1.6039870075092277	-3.2219535451575023	0.001273197764069752	103813625	ubinuclein 2	UBN2	UBN2	ubinuclein 2	UBN2	103813625	0.023293306884048678	103813625	0.17070453366483548	5.990870939099791	7.72380303997315	0.006491181204252462	0.059835094310144735
LOC103813626	0.09543058131350679	0.7742740663114414	0.12325168240249586	0.9019078008736464	103813626	NA	NA	PLBD1	phospholipase B domain containing 1	PLBD1	103813626	0.9234226428602484	103813626	0.3445914447899851	3.209729655134642	6.877997534301802	0.010066248270246317	0.07460192156044292
LOC103813627	21.54387400335599	6.060445397872465	3.5548334468814824	3.7821859144710943e-4	103813627	family with sequence similarity 234 member B	FAM234B	FAM234B	family with sequence similarity 234 member B	FAM234B	103813627	0.023293306884048678	103813627	-0.24636469379093484	1.0831502389052	4.768983452765378	0.03129027726530601	0.13961655195157394
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813629	-0.8288744157139154	1.501656019629758	-0.5519735577780851	0.580966469822245	103813629	histone H4	NA	LOC103813629	histone H4	LOC103813629	103813629	0.6463406996965266	103813629	0.32415203033475737	-1.4708407637233027	2.7687983556446447	0.09832552509780333	0.2744599961245562
LOC103813630	-0.5158052109270457	1.1403243650994548	-0.4523320089561176	0.6510298198680557	103813630	integrator complex subunit 8	INTS8	INTS8	integrator complex subunit 8	INTS8	103813630	0.710966310967463	103813630	-0.13257009204924558	5.486249848752372	4.898824281990213	0.029106892241286306	0.13318889538936723
LOC103813632	-0.09995355303856159	0.5061536945624051	-0.19747668368789914	0.8434545258910138	103813632	solute carrier family 23 member 1-like	NA	LOC103813632	solute carrier family 23 member 1-like	LOC103813632	103813632	0.8751733631369468	103813632	0.48066166173986474	4.021300425058135	9.231215494443692	0.0030231998237155123	0.03986150557067264
LOC103813634	-8.746220940703532	8.220514268713078	-1.0639505820203088	0.2873510870098734	103813634	NA	NA	DEPDC4	DEP domain containing 4	DEPDC4	103813634	0.35371093914981566	103813634	0.09735839161077725	-0.4660255695829345	0.4897725725748312	0.4856377567676836	0.6801072997619731
LOC103813635	-0.5915769104763076	0.5116138503360774	-1.156295729851142	0.247560214383447	103813635	NA	NA	ACTR6	actin related protein 6	ACTR6	103813635	0.30988218322072264	103813635	0.3330956948005207	5.088830264962334	6.386733014712474	0.013035902803179792	0.08572925068743097
LOC103813637	-0.6782384412341494	1.1128818355135823	-0.6094433565097682	0.5422306071480347	103813637	solute carrier family 25 member 3	SLC25A3	SLC25A3	solute carrier family 25 member 3	SLC25A3	103813637	0.6101511276979531	103813637	-0.007454486737382345	7.268718234197046	0.017585718792127163	0.8947626217515728	0.9469057746336339
LOC103813638	0.88268221306356065	0.9001643896445747	0.9805789067173422	0.3268004403717479	103813638	NA	NA	TMPO	thymopoietin	TMPO	103813638	0.39549466142663264	103813638	-0.1455780550564686	6.910739295874804	3.705088462602175	0.057037542467925605	0.19767711194907914
LOC103813640	-2.5735614774344815	1.1887452768193731	-2.1649393924999187	0.030392326970767602	103813640	tumor protein p53 inducible nuclear protein 1	TP53INP1	TP53INP1	tumor protein p53 inducible nuclear protein 1	TP53INP1	103813640	0.08102481842791356	103813640	0.024008547777381255	8.031277762218364	0.1510041021924715	0.6983889986868382	0.8327562036128212
LOC103813641	0.8780071315120308	0.664133897109337	1.3220333058342355	0.1861570605461227	103813641	NA	NA	SNRPF	small nuclear ribonucleoprotein polypeptide F	SNRPF	103813641	0.24253158185744753	103813641	-0.1579914119443498	1.4113033497855543	2.8242578223287604	0.09592854407151728	0.2706497174780768
LOC103813642	3.7432354690720278	5.504330986800054	0.6800527581006098	0.4964710558254176	103813642	NA	NA	NTN4	netrin 4	NTN4	103813642	0.5660311346564729	103813642	-0.5607934064079666	0.35380905424046727	16.79494711260481	8.508190439312542e-5	0.0065098520434889486
LOC103813643	1.4284381008257412	1.5572215006074908	0.9172992411602912	0.35898585491862905	103813643	methionyl aminopeptidase 2	METAP2	METAP2	methionyl aminopeptidase 2	METAP2	103813643	0.42938113585655413	103813643	-0.18027015066548488	7.012085629178543	7.775724824642762	0.006320269999300617	0.05905772840099909
LOC103813644	10.746126689860068	3.55421441244567	3.023488580832582	0.002498784590036719	103813644	NA	NA	VEZT	vezatin, adherens junctions transmembrane protein	VEZT	103813644	0.023293306884048678	103813644	-0.12041291314318059	3.0568154982030227	3.509505510264463	0.06388685022811585	0.21193345999685606
LOC103813645	-3.3325308055794918	1.1406914914852757	-2.921500537573273	0.00348349674445776	103813645	FYVE, RhoGEF and PH domain containing 6	FGD6	FGD6	FYVE, RhoGEF and PH domain containing 6	FGD6	103813645	0.023293306884048678	103813645	0.14241048426304478	5.491043915126889	2.2306618058536962	0.13838833117597651	0.3334886832533909
LOC103813646	8.432283460252025	9.45965664309623	0.8913942417144713	0.37271770582599517	103813646	centrosomal protein 83	CEP83	CEP83	centrosomal protein 83	CEP83	103813646	0.4434472280715558	103813646	-0.028594218975414584	-1.3407511400788075	0.02301729141746406	0.8796506174884882	0.9388330568423
LOC103813647	-0.2809025653352678	0.58994823401433	-0.4761478196550455	0.6339690710554462	103813647	plexin C1	PLXNC1	PLXNC1	plexin C1	PLXNC1	103813647	0.695983140095307	103813647	0.3986724132240138	5.740819514252461	10.179877679684354	0.0018879509686478447	0.032706502971146946
LOC103813648	2.2784006358810958	1.1285789741999144	2.0188225086297806	0.04350567070459831	103813648	NA	NA	UBE2N	ubiquitin conjugating enzyme E2 N	UBE2N	103813648	0.10839772286498564	103813648	-0.09769181449945273	4.161636942205391	2.0915806379969015	0.1511843940481972	0.350923630803895
LOC103813649	-0.5822835431679506	2.0323502135872373	-0.2865074824580456	0.7744894633985188	103813649	early endosome antigen 1	EEA1	EEA1	early endosome antigen 1	EEA1	103813649	0.8183455725061123	103813649	-0.12614474942791815	6.56889280395487	7.447638077356322	0.007484474257367914	0.06413137419987773
LOC103813651	-1.5616161506932817	1.134773800362457	-1.3761475196153519	0.16877596606811066	103813651	NA	NA	BTG1	BTG anti-proliferation factor 1	BTG1	103813651	0.22343319368923253	103813651	0.07031415594711865	8.342249629776365	2.4266144129300846	0.12239314414266851	0.31072313914237826
LOC103813652	-3.372767035310992	1.6091130967200213	-2.0960410068042834	0.036078553448189436	103813652	POC1 centriolar protein B	POC1B	POC1B	POC1 centriolar protein B	POC1B	103813652	0.0932443850346203	103813652	0.2505501063557117	0.5286511509755215	3.3130015960763664	0.07172478763077585	0.22782431088541547
LOC103813657	19.942669891791077	21.155251583664498	0.9426817645217822	0.34584370346601795	103813657	NA	NA	LRRIQ1	leucine rich repeats and IQ motif containing 1	LRRIQ1	103813657	0.4154781076288183	103813657	-0.10268950563167686	-1.4243211369671431	0.2742564317288514	0.6013413444631944	0.7662626308781441
LOC103813658	1.0975738099556112	1.049864492347152	1.04544331002356	0.29581812856813555	103813658	NA	NA	CCDC59	coiled-coil domain containing 59	CCDC59	103813658	0.36278083830580515	103813658	-0.10410872638271322	5.884982646564563	2.0662977452586433	0.15365277504367442	0.3545383481663134
LOC103813664	-0.5101500021451976	2.3385724134479897	-0.21814590782460858	0.8273154293407998	103813664	coiled-coil domain containing 107	NA	CCDC107	coiled-coil domain containing 107	CCDC107	103813664	0.862132626855904	103813664	-0.0713040528057427	0.5545397453182104	0.5495664039582319	0.46023087385121275	0.6605680901120642
LOC103813669	-2.7424979111632704	1.2082649902252651	-2.2697818221580413	0.023220824026913552	103813669	NA	NA	TBC1D15	TBC1 domain family member 15	TBC1D15	103813669	0.06445997092489682	103813669	-0.011494203743238745	8.489507769716932	0.02972483783342505	0.8634582820616798	0.9292288001377986
LOC103813670	-1.9042951080430877	1.9750582416404026	-0.9641716218259255	0.3349598894008233	103813670	NA	NA	RAB21	RAB21, member RAS oncogene family	RAB21	103813670	0.4039844625546074	103813670	0.002962282254154987	8.09701807327657	0.004384103114311711	0.9473384304003913	0.9753428567436264
LOC103813671	-2.4763703887438777	1.1837347245306993	-2.0919977571205015	0.03643871633475435	103813671	pleckstrin homology and FYVE domain containing 2	PLEKHF2	PLEKHF2	pleckstrin homology and FYVE domain containing 2	PLEKHF2	103813671	0.09397759894237094	103813671	0.03572187288390984	4.400044583942904	0.147555922840012	0.7016831310410514	0.8355854126131236
LOC103813672	-1.827287831980365	0.8083396391373233	-2.260544631870935	0.023787469674504187	103813672	zinc finger C3H1-type containing	ZFC3H1	ZFC3H1	zinc finger C3H1-type containing	ZFC3H1	103813672	0.0657826816552405	103813672	0.18022961411913443	7.597898425510546	6.372008733760502	0.013137841782123749	0.0861179610871463
LOC103813676	-2.817218640430373	1.17823647598084	-2.391046872050994	0.01680040788822619	103813676	chaperonin containing TCP1 subunit 2	CCT2	CCT2	chaperonin containing TCP1 subunit 2	CCT2	103813676	0.04879322868201815	103813676	0.119701816497576	6.567671747961585	6.381146779127703	0.013074429100175037	0.08590868103510557
LOC103813677	-3.3183578276729557	1.8107608240857562	-1.8325765520956516	0.06686556780908517	103813677	NA	NA	CPSF6	cleavage and polyadenylation specific factor 6	CPSF6	103813677	0.14729876008311096	103813677	-0.03129698305392004	5.256697664122329	0.6084081448992517	0.4371972689807748	0.6432422477293308
LOC103813678	-1.4491170403000053	0.6737724060252702	-2.1507515406406466	0.03149581586226595	103813678	carboxypeptidase M	CPM	CPM	carboxypeptidase M	CPM	103813678	0.08348539743453946	103813678	0.21127663840802707	3.5794508809687913	3.262807619822076	0.07382251401154369	0.2313896949804675
LOC103813679	0.6768141303455111	1.665584648330338	0.40635228658236133	0.6844837723192914	103813679	solute carrier family 35 member E3	SLC35E3	SLC35E3	solute carrier family 35 member E3	SLC35E3	103813679	0.7408960302080705	103813679	-0.09037685970366685	3.6451177609218552	1.5398544606000124	0.21749157086312493	0.43236848896177515
LOC103813680	-0.23486151275418332	0.917615362859697	-0.25594766855499296	0.7979912460015486	103813680	transcription factor EC	TFEC	TFEC	transcription factor EC	TFEC	103813680	0.8376692280573941	103813680	0.4453803222415904	3.7322125368111077	8.571896314661805	0.004212165499627842	0.04749129572617589
LOC103813682	2.8196970064391045	1.2997057959652334	2.1694886759699656	0.030045603162794615	103813682	suppression of tumorigenicity 7	ST7	ST7	suppression of tumorigenicity 7	ST7	103813682	0.08028298618548163	103813682	-0.0899401522748442	3.9138412609093036	2.4063750151137184	0.12394518034088335	0.31284405602229437
LOC103813686	-0.7772759077210435	0.6171985423171878	-1.2593612175473827	0.20789989085484506	103813686	NA	NA	LOC103813686	ankyrin repeat domain-containing protein 26-like	LOC103813686	103813686	0.26651251381439045	103813686	-0.1566944611161622	3.567583992403149	0.3310199295086497	0.566328744816069	0.7406724890260727
LOC103813689	-1.182013753923124	1.1556862136295274	-1.022780872509427	0.30641146369862415	103813689	cytochrome b-c1 complex subunit 7	UQCRB	LOC103813689	cytochrome b-c1 complex subunit 7	UQCRB	103813689	0.37396253202544794	103813689	-0.06834909910280305	5.801411395531335	1.3504140772592625	0.24792239274091965	0.4689852338944634
LOC103813692	-17.172702273906165	9.776382869253524	-1.7565496875039415	0.07899459513831388	103813692	calcium dependent secretion activator 2	CADPS2	CADPS2	calcium dependent secretion activator 2	CADPS2	103813692	0.1579754812587004	103813692	0.21995922508217253	-1.3100969862314684	1.0345418472878818	0.3110281392402249	0.5333167496728695
LOC103813695	1.1569295134827047	1.8334609833622817	0.6310085264869265	0.528034949377904	103813695	NA	NA	WASL	WASP like actin nucleation promoting factor	WASL	103813695	0.5967952747882723	103813695	0.006660868461672693	3.2122220600836773	0.007991788363788692	0.9289422341674106	0.9651095234367558
LOC103813700	-0.25594002189761966	0.6388075393020196	-0.4006527884396409	0.6886757746003063	103813700	mitochondrial transcription termination factor 3	MTERF3	MTERF3	mitochondrial transcription termination factor 3	MTERF3	103813700	0.7446479741561765	103813700	0.24548882840790934	2.657748221224012	2.8983638735182295	0.09172294654873185	0.2643551892442769
LOC103813705	-0.16740205900465852	1.1014779616237906	-0.15197949013693896	0.8792031122247961	103813705	NA	NA	PIM3	Pim-3 proto-oncogene, serine/threonine kinase	PIM3	103813705	0.9044632950085834	103813705	0.0047420728654647025	3.1629527545368115	0.002329754198601297	0.9615976200203986	0.9825743305779077
LOC103813706	-0.8491382313722939	0.7321084194208127	-1.159853115804987	0.2461086140365279	103813706	NA	NA	CRELD2	cysteine rich with EGF like domains 2	CRELD2	103813706	0.30831890698902503	103813706	0.401569819355382	2.6199986835248423	10.62615313444255	0.0015169483856639428	0.029617128231013007
LOC103813710	0.5860705759010288	1.9140567877863273	0.30619288813203904	0.759457786985856	103813710	NA	NA	CERK	ceramide kinase	CERK	103813710	0.8052714905991603	103813710	0.2790143125307935	2.2094861707922426	4.8725393521637965	0.029535330710309837	0.13403268165169294
LOC103813713	0.8797242811393857	3.334657099704191	0.26381251650054927	0.7919243893802693	103813713	G2 and S-phase expressed 1	GTSE1	GTSE1	G2 and S-phase expressed 1	GTSE1	103813713	0.8327049702463256	103813713	0.10271701122479218	0.6315531242661342	0.6747894365403209	0.4133362134376426	0.623776470334407
LOC103813715	-3.467430352049863	7.713392010688211	-0.4495337910020845	0.6530466376562837	103813715	NA	NA	SLC2A13	solute carrier family 2 member 13	SLC2A13	103813715	0.7129079795460458	103813715	0.10347141043880588	1.1727721332090286	1.0532305330249232	0.3072120270395924	0.5287480764370323
LOC103813716	0.98929033104128306	1.5986471282179375	0.6188297051795766	0.536028550923298	103813716	leucine rich repeat kinase 2	LRRK2	LRRK2	leucine rich repeat kinase 2	LRRK2	103813716	0.6043527725092909	103813716	0.3419322867809151	3.5878388013881	5.849680420660793	0.017355726838367485	0.09899142825521418
LOC103813718	22.04854504390061	16.163548336501563	1.364090643024785	0.17253903933116252	103813718	NA	NA	LAMB4	laminin subunit beta 4	LAMB4	103813718	0.22759820085168894	103813718	-0.6524789640649293	-0.28624437814101816	14.175392656436221	2.812879671370111e-4	0.01189913516795868
LOC103813719	-1.4770853503198462	1.2224900145944837	-1.2082596444027522	0.2269474059794602	103813719	NA	NA	DLD	dihydrolipoamide dehydrogenase	DLD	103813719	0.28742878024800755	103813719	-0.03586810774251914	4.897347801383296	0.3494671953518746	0.5557250478089498	0.7331298406608097
LOC103813722	-0.6652003784834378	1.367571582051183	-0.48640991609793627	0.6266765613619832	103813722	metadherin	MTDH	MTDH	metadherin	MTDH	103813722	0.6892770405922336	103813722	0.10682937589681091	4.854480251144792	3.649927099739342	0.05888506627797561	0.20165409895131026
LOC103813723	2.410469672961334	3.607612571613339	0.668162011610732	0.5040301815740483	103813723	NA	NA	COG5	component of oligomeric golgi complex 5	COG5	103813723	0.5733751509476598	103813723	0.1837850049499938	1.3911691598215812	4.092239440559339	0.04571408830966032	0.17400831970731664
LOC103813724	5.045965735441712	6.382778127237893	0.7905594765872461	0.42920110198462536	103813724	NA	NA	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	PRKAR2B	103813724	0.5003333445488599	103813724	0.0489406530078759	-0.11057182727572577	0.07305895683534681	0.787494845451573	0.8864659715511914
LOC103813725	-0.21955315186792998	0.48624184638902335	-0.451530762928771	0.6516070584612392	103813725	NA	NA	NAMPT	nicotinamide phosphoribosyltransferase	NAMPT	103813725	0.7115493600344661	103813725	0.1837420076229853	4.831011508842045	0.9889756423368227	0.3223504875017327	0.5433584268727834
LOC103813730	-1.2470558301421961	1.114092057199372	-1.1193472048235145	0.26299204480635613	103813730	NA	NA	PSMC2	proteasome 26S subunit, ATPase 2	PSMC2	103813730	0.32686353240865684	103813730	0.01555520542642546	7.620891189308867	0.06649231758021407	0.7970345990746824	0.8925544443157278
LOC103813731	-1.2976467844524355	1.0219348578013236	-1.2697940329037232	0.20415800680670762	103813731	NA	NA	PMPCB	peptidase, mitochondrial processing subunit beta	PMPCB	103813731	0.2622173367036238	103813731	-0.009567091786613888	4.434679639848015	0.019627665274697472	0.8888587399445014	0.9438419896124739
LOC103813736	-1.7893662810455435	1.8930967614402228	-0.9452059279232174	0.34455375365983837	103813736	round spermatid basic protein 1 like	RSBN1L	RSBN1L	round spermatid basic protein 1 like	RSBN1L	103813736	0.4141405698893412	103813736	-0.047840210096057295	7.661141784319202	1.2210547253450088	0.27175804302037554	0.49257100378814017
LOC103813738	-10.696440954014111	7.439787425720847	-1.4377347553015232	0.1505093277939223	103813738	NA	NA	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	CACNA2D1	103813738	0.20370252550641568	103813738	0.9831027040427027	-0.05707998504146945	16.818606618199265	8.024050886392478e-5	0.006255320812434822
LOC103813740	-2.0477616333740327	3.6726898612006904	-0.5575645400955719	0.5771417760815278	103813740	DNA cross-link repair 1C	DCLRE1C	DCLRE1C	DNA cross-link repair 1C	DCLRE1C	103813740	0.6430879653802859	103813740	0.2580571002946568	1.0416945128357318	5.729318826264778	0.01853142486758162	0.10240606126824597
LOC103813741	-4.471381911844494	2.026512776060629	-2.2064415110851097	0.027353101234173345	103813741	suppressor of variegation 3-9 homolog 2	SUV39H2	SUV39H2	SUV39H2 histone lysine methyltransferase	SUV39H2	103813741	0.07403443458270939	103813741	0.09354910379572821	4.094971503484565	2.7860760135041067	0.09815921249768828	0.27439572173164034
LOC103813742	0.9045851033763631	1.177858378020129	0.7679913988444748	0.44249229487960307	103813742	NA	NA	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	DHTKD1	103813742	0.5137116190537051	103813742	-0.2294043063163196	2.783729696680738	2.278258682117241	0.13429808157066836	0.32844206276545057
LOC103813743	-1.3932416932180514	1.7199245226180595	-0.8100597874476879	0.4179058144694591	103813743	reactive intermediate imine deaminase A homolog	RIDA	RIDA	reactive intermediate imine deaminase A homolog	RIDA	103813743	0.4890586845453976	103813743	0.09690974690583262	2.7086771365754085	2.098066960000516	0.1505601261746975	0.35009035992500653
