Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
ES49_Blue-024_Control-protein_0	88275638.0	0.0	88275638.0	1.0	44137819.0	44137819.0	77867682.0	77785318.0	10407956.0	77785318.0	88275638.0	0.0	581857.0	0.0	9470781.0	0.0	4364412669.0	2187323078.0	2177089591.0	3857428817.0	3834079202.0	0.0	0.0	6125181.0	0.001597562	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1011.9	1630.7	38888239.0	4420.0	0.0	0.0	88.1	88.2097074166714	88.11640421109162	11.790292583328595	88.11640421109162	100.0	0.0	0.659136555886461	0.0
ES4_164_Control-protein_0	89378846.0	0.0	89378846.0	1.0	44689423.0	44689423.0	78716281.0	78626000.0	10662565.0	78626000.0	89378846.0	0.0	539418.0	0.0	9648800.0	0.0	4418715412.0	2214760089.0	2203955323.0	3899151440.0	3873956131.0	0.0	0.0	9357280.0	0.002415433	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1106.1	1691.8	39308426.0	4574.0	0.0	0.0	88.0	88.07037070046754	87.96936134082554	11.929629299532465	87.96936134082554	100.0	0.0	0.6035186446690082	0.0
ES50_Blue-024_Control-protein_14	78763638.0	0.0	78763638.0	1.0	39381819.0	39381819.0	68651982.0	68580558.0	10111656.0	68580558.0	78763638.0	0.0	498570.0	0.0	7826147.0	0.0	3893669205.0	1951698976.0	1941970229.0	3400330316.0	3379357596.0	0.0	0.0	5671792.0	0.001678364	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1143.2	1730.5	34285657.0	4622.0	0.0	0.0	87.1	87.16202519746486	87.07134375890561	12.837974802535149	87.07134375890561	100.0	0.0	0.6329951392037021	0.0
ES51_Blue-024_Control-protein_21	76492514.0	0.0	76492514.0	1.0	38246257.0	38246257.0	67137641.0	67069988.0	9354873.0	67069988.0	76492514.0	0.0	513680.0	0.0	7862412.0	0.0	3782011461.0	1895440098.0	1886571363.0	3325435952.0	3305797632.0	0.0	0.0	5648174.0	0.001708566	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1129.3	1718.7	33530674.0	4320.0	0.0	0.0	87.7	87.77021108235506	87.68176713344785	12.229788917644935	87.68176713344785	100.0	0.0	0.6715428388194954	0.0
ES52_SEM19-1481_MG-lipid_14	90016778.0	0.0	90016778.0	1.0	45008389.0	45008389.0	79530557.0	79428968.0	10486221.0	79428968.0	90016778.0	0.0	442126.0	0.0	8515872.0	0.0	4449125636.0	2230546835.0	2218578801.0	3939113103.0	3917208864.0	0.0	0.0	9870559.0	0.002519794	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1111.5	1706.1	39709114.0	5370.0	0.0	0.0	88.2	88.35081500028805	88.23795937241833	11.649184999711942	88.23795937241833	100.0	0.0	0.4911595480566967	0.0
ES53_SEM19-74_MG-protein_0	82223198.0	0.0	82223198.0	1.0	41111599.0	41111599.0	74204875.0	74127088.0	8018323.0	74127088.0	82223198.0	0.0	269485.0	0.0	6522461.0	0.0	4066156548.0	2037877347.0	2028279201.0	3675660230.0	3655395559.0	0.0	0.0	6377011.0	0.001744547	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1044.7	1631.9	37059802.0	3742.0	0.0	0.0	90.2	90.2481012718576	90.15349658377433	9.751898728142391	90.15349658377433	100.0	0.0	0.3277481374538606	0.0
ES54_SEM19-74_MG-protein_14	85226186.0	0.0	85226186.0	1.0	42613093.0	42613093.0	76627823.0	76549298.0	8598363.0	76549298.0	85226186.0	0.0	384437.0	0.0	7627815.0	0.0	4214235112.0	2111877936.0	2102357176.0	3795368163.0	3775884891.0	0.0	0.0	6485416.0	0.001717588	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1084.2	1688.6	38270941.0	3708.0	0.0	0.0	89.8	89.91112543743304	89.81898826259807	10.088874562566955	89.81898826259807	100.0	0.0	0.4510784983385271	0.0
ES55_SEM19-74_MG-protein_21	75971000.0	0.0	75971000.0	1.0	37985500.0	37985500.0	66828697.0	66744830.0	9142303.0	66744830.0	75971000.0	0.0	566390.0	0.0	9614273.0	0.0	3754565092.0	1881929099.0	1872635993.0	3309988370.0	3292126344.0	0.0	0.0	5848827.0	0.001776611	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1082.4	1726.4	33369073.0	3342.0	0.0	0.0	87.9	87.96606204999277	87.85566861039081	12.033937950007239	87.85566861039081	100.0	0.0	0.7455344802622053	0.0
ES56_Blue-050_Control-lipid_21	97078202.0	0.0	97078202.0	1.0	48539101.0	48539101.0	84020944.0	83934326.0	13057258.0	83934326.0	97078202.0	0.0	344377.0	0.0	8061933.0	0.0	4799536070.0	2406195461.0	2393340609.0	4162219244.0	4110059040.0	0.0	0.0	26778453.0	0.006515345	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1000.0	1572.2	41960954.0	6209.0	0.0	0.0	86.5	86.54975295071905	86.46052797722808	13.45024704928095	86.46052797722808	100.0	0.0	0.35474183998587033	0.0
ES57_Blue-031_MG-lipid_0	105203020.0	0.0	105203020.0	1.0	52601510.0	52601510.0	95547162.0	95490026.0	9655858.0	95490026.0	105203020.0	0.0	363815.0	0.0	8743662.0	0.0	5206030825.0	2607640669.0	2598390156.0	4733345975.0	4707874287.0	0.0	0.0	7351855.0	0.001561608	49.0	50.0	49.0	50.0	50.0	50.0	36.4	959.5	1529.4	47739815.0	5198.0	0.0	0.0	90.8	90.82169124042257	90.76738101244622	9.178308759577435	90.76738101244622	100.0	0.0	0.34582182146482104	0.0
ES58_Blue-032_MG-protein_0	99848298.0	0.0	99848298.0	1.0	49924149.0	49924149.0	86621635.0	86525608.0	13226663.0	86525608.0	99848298.0	0.0	750821.0	0.0	12116692.0	0.0	4935603862.0	2473779711.0	2461824151.0	4290439086.0	4266107728.0	0.0	0.0	7249401.0	0.001699301	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1167.3	1757.1	43257022.0	5782.0	0.0	0.0	86.7	86.75324140227207	86.65706850606507	13.246758597727926	86.65706850606507	100.0	0.0	0.7519617410003323	0.0
ES59_Blue-032_MG-protein_14	94359196.0	0.0	94359196.0	1.0	47179598.0	47179598.0	83381057.0	83277150.0	10978139.0	83277150.0	94359196.0	0.0	499088.0	0.0	8658517.0	0.0	4664033698.0	2338088865.0	2325944833.0	4129763830.0	4108210846.0	0.0	0.0	6854865.0	0.001668577	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1138.3	1730.1	41634054.0	4521.0	0.0	0.0	88.3	88.36558654018205	88.25546796731926	11.63441345981795	88.25546796731926	100.0	0.0	0.528923540213293	0.0
ES5_164_Control-protein_14	84032792.0	0.0	84032792.0	1.0	42016396.0	42016396.0	74132217.0	74067012.0	9900575.0	74067012.0	84032792.0	0.0	304411.0	0.0	7311789.0	0.0	4156134753.0	2082624104.0	2073510649.0	3672183347.0	3650039827.0	0.0	0.0	9175388.0	0.002513777	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1055.5	1653.3	37028390.0	5116.0	0.0	0.0	88.1	88.21820058055432	88.14060587205053	11.781799419445685	88.14060587205053	100.0	0.0	0.36225263109191946	0.0
ES60_Blue-032_MG-protein_21	84846932.0	0.0	84846932.0	1.0	42423466.0	42423466.0	74305483.0	74221198.0	10541449.0	74221198.0	84846932.0	0.0	466299.0	0.0	7704029.0	0.0	4193528777.0	2102370707.0	2091158070.0	3680119083.0	3660842530.0	0.0	0.0	6259176.0	0.001709764	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1219.1	1785.2	37105981.0	4618.0	0.0	0.0	87.5	87.57592201448132	87.47658430360217	12.424077985518675	87.47658430360217	100.0	0.0	0.5495767366108182	0.0
ES61_Blue-035_MG-protein_0	77667656.0	0.0	77667656.0	1.0	38833828.0	38833828.0	69532907.0	69476218.0	8134749.0	69476218.0	77667656.0	0.0	238671.0	0.0	6025556.0	0.0	3841491604.0	1924675486.0	1916816118.0	3443943439.0	3425720426.0	0.0	0.0	7635809.0	0.002228965	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1067.1	1673.2	34733364.0	4745.0	0.0	0.0	89.5	89.52620766616157	89.45321846715703	10.473792333838427	89.45321846715703	100.0	0.0	0.30729780231812326	0.0
ES62_Blue-035_MG-protein_14	88922520.0	0.0	88922520.0	1.0	44461260.0	44461260.0	77981441.0	77897904.0	10941079.0	77897904.0	88922520.0	0.0	374895.0	0.0	7539031.0	0.0	4396171208.0	2203614059.0	2192557149.0	3862400502.0	3838245847.0	0.0	0.0	8503845.0	0.002215555	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1164.8	1736.0	38943605.0	5347.0	0.0	0.0	87.6	87.69594136558433	87.60199778413838	12.304058634415668	87.60199778413838	100.0	0.0	0.42159736363746775	0.0
ES63_Blue-035_MG-protein_21	81849676.0	0.0	81849676.0	1.0	40924838.0	40924838.0	71895050.0	71838234.0	9954626.0	71838234.0	81849676.0	0.0	280409.0	0.0	6354593.0	0.0	4048063580.0	2028490057.0	2019573523.0	3561084691.0	3537882825.0	0.0	0.0	8191296.0	0.00231531	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1077.1	1663.1	35913506.0	5611.0	0.0	0.0	87.8	87.83791642620552	87.76850136828887	12.162083573794478	87.76850136828887	100.0	0.0	0.34259023823136453	0.0
ES64_SEM19-1481_MG-lipid_21	92576904.0	0.0	92576904.0	1.0	46288452.0	46288452.0	82551865.0	82472744.0	10025039.0	82472744.0	92576904.0	0.0	421759.0	0.0	9325119.0	0.0	4577851826.0	2294233577.0	2283618249.0	4088945572.0	4065048737.0	0.0	0.0	10098116.0	0.002484132	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1088.4	1674.3	41231131.0	5241.0	0.0	0.0	89.1	89.17112306974533	89.08565790880196	10.828876930254657	89.08565790880196	100.0	0.0	0.45557691149403745	0.0
ES65_106_NA_0	90868930.0	0.0	90868930.0	1.0	45434465.0	45434465.0	79435356.0	79340112.0	11433574.0	79340112.0	90868930.0	0.0	447683.0	0.0	8346430.0	0.0	4492543552.0	2252042287.0	2240501265.0	3934951601.0	3910560924.0	0.0	0.0	7178537.0	0.00183568	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1064.7	1651.5	39665199.0	4857.0	0.0	0.0	87.3	87.41751003340747	87.31269532941567	12.582489966592542	87.31269532941567	100.0	0.0	0.4926689463604336	0.0
ES66_617_Control-protein_14	85789602.0	0.0	85789602.0	1.0	42894801.0	42894801.0	75721902.0	75619256.0	10067700.0	75619256.0	85789602.0	0.0	487106.0	0.0	8911834.0	0.0	4239855230.0	2125935829.0	2113919401.0	3750508394.0	3727365233.0	0.0	0.0	8102547.0	0.0021738	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1088.6	1670.7	37805284.0	4344.0	0.0	0.0	88.1	88.2646617243894	88.14501319169193	11.735338275610603	88.14501319169193	100.0	0.0	0.5677914206898873	0.0
ES67_Blue-037_MG-protein_0	85330690.0	0.0	85330690.0	1.0	42665345.0	42665345.0	72966588.0	72876998.0	12364102.0	72876998.0	85330690.0	0.0	537939.0	0.0	8730752.0	0.0	4216172240.0	2113979855.0	2102192385.0	3613790422.0	3592080486.0	0.0	0.0	9299711.0	0.002588948	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1261.6	1828.6	36432684.0	5815.0	0.0	0.0	85.4	85.51036912979374	85.40537759626694	14.489630870206252	85.40537759626694	100.0	0.0	0.6304167937702132	0.0
ES68_Blue-037_MG-protein_14	76899552.0	0.0	76899552.0	1.0	38449776.0	38449776.0	66580758.0	66500176.0	10318794.0	66500176.0	76899552.0	0.0	391168.0	0.0	7038335.0	0.0	3800751188.0	1905409874.0	1895341314.0	3297478490.0	3276537387.0	0.0	0.0	8566121.0	0.002614382	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1283.6	1846.1	33245260.0	4828.0	0.0	0.0	86.5	86.58146408967376	86.47667544279062	13.41853591032624	86.47667544279062	100.0	0.0	0.5086739647065824	0.0
ES69_Blue-037_MG-protein_21	82346790.0	0.0	82346790.0	1.0	41173395.0	41173395.0	70700749.0	70636070.0	11646041.0	70636070.0	82346790.0	0.0	460032.0	0.0	8006878.0	0.0	4071065359.0	2040169061.0	2030896298.0	3501582140.0	3477509597.0	0.0	0.0	9686548.0	0.002785484	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1254.9	1819.4	35311700.0	6335.0	0.0	0.0	85.8	85.85732242871885	85.77877777628005	14.142677571281165	85.77877777628005	100.0	0.0	0.5586520130292875	0.0
ES6_164_Control-protein_21	82433728.0	0.0	82433728.0	1.0	41216864.0	41216864.0	72141175.0	72074684.0	10292553.0	72074684.0	82433728.0	0.0	309971.0	0.0	6724251.0	0.0	4076209339.0	2042683919.0	2033525420.0	3572995950.0	3550717928.0	0.0	0.0	9613153.0	0.002707383	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1235.3	1795.6	36031660.0	5682.0	0.0	0.0	87.4	87.51414833501161	87.43348838960674	12.485851664988388	87.43348838960674	100.0	0.0	0.37602448357060836	0.0
ES70_Blue-039_Control-lipid_0	109303726.0	0.0	109303726.0	1.0	54651863.0	54651863.0	96523694.0	96440910.0	12780032.0	96440910.0	109303726.0	0.0	526278.0	0.0	10420565.0	0.0	5405865504.0	2708704809.0	2697160695.0	4780927499.0	4752265824.0	0.0	0.0	8359683.0	0.001759094	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1126.0	1700.8	48214287.0	6168.0	0.0	0.0	88.2	88.307780102574	88.23204251975821	11.692219897426003	88.23204251975821	100.0	0.0	0.48148221406468794	0.0
ES71_Blue-039_Control-lipid_14	77553610.0	0.0	77553610.0	1.0	38776805.0	38776805.0	68369102.0	68306260.0	9184508.0	68306260.0	77553610.0	0.0	404836.0	0.0	7351595.0	0.0	3834616887.0	1921685567.0	1912931320.0	3386227919.0	3367409002.0	0.0	0.0	5750238.0	0.001707615	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1168.5	1740.5	34148743.0	4387.0	0.0	0.0	88.1	88.15721408713276	88.07618368764523	11.842785912867242	88.07618368764523	100.0	0.0	0.5220079374770562	0.0
ES72_Blue-039_Control-lipid_21	86166038.0	0.0	86166038.0	1.0	43083019.0	43083019.0	74606400.0	74515854.0	11559638.0	74515854.0	86166038.0	0.0	569553.0	0.0	9155383.0	0.0	4258338348.0	2134897282.0	2123441066.0	3695126225.0	3671841440.0	0.0	0.0	6430464.0	0.001751291	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1149.8	1736.4	37253253.0	4674.0	0.0	0.0	86.5	86.58446150210597	86.47937833697308	13.41553849789403	86.47937833697308	100.0	0.0	0.6609947645498102	0.0
ES73_Blue-042_MG-protein_0	107063208.0	0.0	107063208.0	1.0	53531604.0	53531604.0	94574082.0	94464168.0	12489126.0	94464168.0	107063208.0	0.0	471272.0	0.0	9929408.0	0.0	5293663395.0	2653427261.0	2640236134.0	4684798611.0	4655126865.0	0.0	0.0	7741102.0	0.00166292	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1050.4	1622.3	47226147.0	5937.0	0.0	0.0	88.2	88.33481059151525	88.23214787287151	11.665189408484752	88.23214787287151	100.0	0.0	0.4401810937703267	0.0
ES74_Blue-042_MG-protein_14	100644260.0	0.0	100644260.0	1.0	50322130.0	50322130.0	88351809.0	88243094.0	12292451.0	88243094.0	100644260.0	0.0	546549.0	0.0	9735255.0	0.0	4974831842.0	2493854747.0	2480977095.0	4376090066.0	4346013444.0	0.0	0.0	7687349.0	0.001768828	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1080.9	1672.2	44116219.0	5328.0	0.0	0.0	87.7	87.78623738701044	87.67821831071142	12.213762612989553	87.67821831071142	100.0	0.0	0.5430503438546819	0.0
ES75_Blue-042_MG-protein_21	96737710.0	0.0	96737710.0	1.0	48368855.0	48368855.0	86108238.0	86034260.0	10629472.0	86034260.0	96737710.0	0.0	518149.0	0.0	9318724.0	0.0	4784980717.0	2397394264.0	2387586453.0	4265493665.0	4236433911.0	0.0	0.0	6847673.0	0.001616377	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1069.5	1652.5	43012680.0	4450.0	0.0	0.0	88.9	89.01206985362792	88.93559709031773	10.987930146372083	88.93559709031773	100.0	0.0	0.5356225612535174	0.0
ES76_Blue-043_MG-lipid_0	82680930.0	0.0	82680930.0	1.0	41340465.0	41340465.0	72810917.0	72734088.0	9870013.0	72734088.0	82680930.0	0.0	481434.0	0.0	8087091.0	0.0	4087885774.0	2048712652.0	2039173122.0	3606389363.0	3584717272.0	0.0	0.0	8276037.0	0.0023087	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1110.9	1710.4	36362063.0	4981.0	0.0	0.0	88.0	88.0625278404585	87.96960556684594	11.937472159541505	87.96960556684594	100.0	0.0	0.5822793720389937	0.0
ES77_Blue-043_MG-lipid_14	92837464.0	0.0	92837464.0	1.0	46418732.0	46418732.0	82326762.0	82245170.0	10510702.0	82245170.0	92837464.0	0.0	337970.0	0.0	7893782.0	0.0	4590896486.0	2300392308.0	2290504178.0	4077745851.0	4054257198.0	0.0	0.0	10104587.0	0.00249234	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1085.5	1700.3	41116970.0	5615.0	0.0	0.0	88.6	88.67838311481665	88.59049618158463	11.321616885183335	88.59049618158463	100.0	0.0	0.36404484293108225	0.0
ES78_Blue-043_MG-lipid_21	101041168.0	0.0	101041168.0	1.0	50520584.0	50520584.0	89572147.0	89502366.0	11469021.0	89502366.0	101041168.0	0.0	399349.0	0.0	8673324.0	0.0	4997690256.0	2503569031.0	2494121225.0	4436634472.0	4410611392.0	0.0	0.0	10597430.0	0.002402712	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1116.7	1723.1	44744161.0	7022.0	0.0	0.0	88.6	88.64916031057757	88.58009836149162	11.350839689422434	88.58009836149162	100.0	0.0	0.39523395058141053	0.0
ES79_Blue-050_Control-lipid_0	78684170.0	0.0	78684170.0	1.0	39342085.0	39342085.0	67542772.0	67480520.0	11141398.0	67480520.0	78684170.0	0.0	414462.0	0.0	7433010.0	0.0	3889425505.0	1949541480.0	1939884025.0	3345257274.0	3304166578.0	0.0	0.0	21886559.0	0.006623928	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1146.4	1726.3	33734675.0	5585.0	0.0	0.0	85.8	85.84035645289262	85.76124015796316	14.159643547107379	85.76124015796316	100.0	0.0	0.5267412746426632	0.0
ES7_SEM19-1354_Control-protein_14	86567912.0	0.0	86567912.0	1.0	43283956.0	43283956.0	78331893.0	78268510.0	8236019.0	78268510.0	86567912.0	0.0	340191.0	0.0	7863940.0	0.0	4281829806.0	2145178934.0	2136650872.0	3879940786.0	3858644566.0	0.0	0.0	9764249.0	0.002530487	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1013.7	1618.3	39129721.0	4534.0	0.0	0.0	90.4	90.486060239041	90.41284257843715	9.513939760959003	90.41284257843715	100.0	0.0	0.3929758638512616	0.0
ES80_Blue-050_Control-lipid_14	84399128.0	0.0	84399128.0	1.0	42199564.0	42199564.0	73557213.0	73491252.0	10841915.0	73491252.0	84399128.0	0.0	396867.0	0.0	7869107.0	0.0	4172324502.0	2091497471.0	2080827031.0	3642972358.0	3595593000.0	0.0	0.0	23742431.0	0.006603204	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1125.6	1666.3	36740543.0	5083.0	0.0	0.0	87.1	87.15399642517635	87.07584277411019	12.846003574823664	87.07584277411019	100.0	0.0	0.4702264222445521	0.0
ES81_Blue-047_Control-lipid_0	90533332.0	0.0	90533332.0	1.0	45266666.0	45266666.0	80341857.0	80229894.0	10191475.0	80229894.0	90533332.0	0.0	416149.0	0.0	8156068.0	0.0	4475356240.0	2243868697.0	2231487543.0	3979847550.0	3952624050.0	0.0	0.0	6691393.0	0.001692899	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1062.9	1625.1	40110258.0	4689.0	0.0	0.0	88.6	88.74284777235417	88.6191772992515	11.257152227645834	88.6191772992515	100.0	0.0	0.45966385065778864	0.0
ES82_Blue-047_Control-lipid_14	59875964.0	0.0	59875964.0	1.0	29937982.0	29937982.0	52338383.0	52271142.0	7537581.0	52271142.0	59875964.0	0.0	153438.0	0.0	4406180.0	0.0	2960266186.0	1484562174.0	1475704012.0	2592932471.0	2578479529.0	0.0	0.0	4404760.0	0.001708278	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1162.0	1682.0	26131675.0	3896.0	0.0	0.0	87.3	87.41134088463276	87.29904039624314	12.588659115367228	87.29904039624314	100.0	0.0	0.25625975725417965	0.0
ES83_SEM19-1481_MG-lipid_0	93856590.0	0.0	93856590.0	1.0	46928295.0	46928295.0	83717302.0	83630366.0	10139288.0	83630366.0	93856590.0	0.0	445960.0	0.0	8666009.0	0.0	4640981796.0	2326024263.0	2314957533.0	4146775468.0	4120859105.0	0.0	0.0	9731860.0	0.002361609	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1106.5	1671.6	41809915.0	5268.0	0.0	0.0	89.1	89.19704199779686	89.1044155769989	10.802958002203148	89.1044155769989	100.0	0.0	0.47515043962283304	0.0
ES84_LD19-239_MG-lipid_0	92771930.0	0.0	92771930.0	1.0	46385965.0	46385965.0	81605477.0	81528362.0	11166453.0	81528362.0	92771930.0	0.0	545621.0	0.0	9399032.0	0.0	4587146435.0	2298733144.0	2288413291.0	4041974323.0	4015638491.0	0.0	0.0	9930144.0	0.002472868	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1134.6	1728.6	40758971.0	5210.0	0.0	0.0	87.9	87.96354349855608	87.88042029523369	12.036456501443919	87.88042029523369	100.0	0.0	0.588131560915031	0.0
ES85_orange-24_Control-protein_0	89848910.0	0.0	89848910.0	1.0	44924455.0	44924455.0	79338905.0	79285304.0	10510005.0	79285304.0	89848910.0	0.0	279438.0	0.0	7273117.0	0.0	4444789550.0	2226780595.0	2218008955.0	3929921341.0	3907291470.0	0.0	0.0	7817754.0	0.002000812	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1058.9	1639.0	39636686.0	5966.0	0.0	0.0	88.2	88.3025792967327	88.24292247952702	11.697420703267296	88.24292247952702	100.0	0.0	0.3110087812974025	0.0
ES86_orange-24_Control-protein_14	70959198.0	0.0	70959198.0	1.0	35479599.0	35479599.0	62224505.0	62175278.0	8734693.0	62175278.0	70959198.0	0.0	285761.0	0.0	6622907.0	0.0	3509626475.0	1758495348.0	1751131127.0	3082157365.0	3066192927.0	0.0	0.0	5623474.0	0.001834025	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1093.8	1679.8	31083150.0	4489.0	0.0	0.0	87.6	87.6905415419154	87.6211678717113	12.309458458084602	87.6211678717113	100.0	0.0	0.4027117104677536	0.0
ES87_orange-24_Control-protein_21	87430516.0	0.0	87430516.0	1.0	43715258.0	43715258.0	76869295.0	76811416.0	10561221.0	76811416.0	87430516.0	0.0	255211.0	0.0	7133265.0	0.0	4324621576.0	2166814655.0	2157806921.0	3807683297.0	3786806306.0	0.0	0.0	6749119.0	0.001782272	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1036.7	1623.1	38400469.0	5239.0	0.0	0.0	87.9	87.92044073032807	87.85424073214895	12.07955926967193	87.85424073214895	100.0	0.0	0.291901514112075	0.0
ES88_610_MG-protein_0	97683402.0	0.0	97683402.0	1.0	48841701.0	48841701.0	87934418.0	87877616.0	9748984.0	87877616.0	97683402.0	0.0	247195.0	0.0	7469577.0	0.0	4834125272.0	2421439846.0	2412685426.0	4356235653.0	4328168947.0	0.0	0.0	7171423.0	0.001656918	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1044.2	1606.4	43933877.0	4931.0	0.0	0.0	90.0	90.01981523944058	89.96166615900621	9.980184760559425	89.96166615900621	100.0	0.0	0.2530573208332773	0.0
ES89_Blue-049_Control-protein_0	221766.0	0.0	221766.0	1.0	110883.0	110883.0	9170.0	9154.0	212596.0	9154.0	221766.0	0.0	946.0	0.0	9994.0	0.0	10821518.0	5469289.0	5352229.0	452133.0	439962.0	0.0	0.0	2770.0	0.006295998	48.0	49.0	48.0	50.0	50.0	50.0	35.2	701.3	1598.3	4562.0	15.0	0.0	0.0	4.1	4.1349891326894115	4.1277743206803565	95.86501086731059	4.1277743206803565	100.0	0.0	0.4265757600353526	0.0
ES8_SEM19-1354_Control-protein_21	91646142.0	0.0	91646142.0	1.0	45823071.0	45823071.0	82200286.0	82117820.0	9445856.0	82117820.0	91646142.0	0.0	322344.0	0.0	8023585.0	0.0	4532304401.0	2271215969.0	2261088432.0	4071817573.0	4048314342.0	0.0	0.0	10193272.0	0.002517905	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1003.0	1617.1	41053394.0	5516.0	0.0	0.0	89.6	89.69312205198993	89.60313899520177	10.306877948010076	89.60313899520177	100.0	0.0	0.35172675353862687	0.0
ES90_Blue-049_Control-protein_14	89000298.0	0.0	89000298.0	1.0	44500149.0	44500149.0	77254868.0	77139082.0	11745430.0	77139082.0	89000298.0	0.0	508696.0	0.0	9399115.0	0.0	4397895482.0	2205471400.0	2192424082.0	3826667112.0	3799166410.0	0.0	0.0	6273929.0	0.001651396	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1055.8	1637.4	38564581.0	4960.0	0.0	0.0	86.7	86.80293182838557	86.67283563477507	13.197068171614438	86.67283563477507	100.0	0.0	0.5715666255409616	0.0
ES91_Blue-049_Control-protein_21	84817880.0	0.0	84817880.0	1.0	42408940.0	42408940.0	74264697.0	74187084.0	10553183.0	74187084.0	84817880.0	0.0	581689.0	0.0	9285470.0	0.0	4193294802.0	2101589473.0	2091705329.0	3678372262.0	3656408906.0	0.0	0.0	6023793.0	0.001647462	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1100.4	1706.9	37089194.0	4348.0	0.0	0.0	87.5	87.55783214576927	87.46632667546041	12.442167854230735	87.46632667546041	100.0	0.0	0.6858094071674511	0.0
ES92_SEM19-76_MG-lipid_0	98832968.0	0.0	98832968.0	1.0	49416484.0	49416484.0	88070238.0	87942420.0	10762730.0	87942420.0	98832968.0	0.0	506426.0	0.0	10398970.0	0.0	4884514014.0	2449399675.0	2435114339.0	4362177355.0	4333752817.0	0.0	0.0	7943861.0	0.001833021	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1039.7	1617.3	43967571.0	3639.0	0.0	0.0	89.0	89.11018234320353	88.98085505233436	10.889817656796465	88.98085505233436	100.0	0.0	0.5124059413049298	0.0
