"Cluster","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Infection (lipid)","BP","GO:0009607","response to biotic stimulus",11,0.7978169906172026,2.090190468440951,1.1023768921672172e-4,0.00773041795632261,0.007020400208012278,1330,"tags=73%, list=12%, signal=64%","103824282/103820351/103813055/103815911/103822351/103823962/103819051/103812959"
"Infection (lipid)","BP","GO:0043207","response to external biotic stimulus",11,0.7978169906172026,2.090190468440951,1.1023768921672172e-4,0.00773041795632261,0.007020400208012278,1330,"tags=73%, list=12%, signal=64%","103824282/103820351/103813055/103815911/103822351/103823962/103819051/103812959"
"Infection (lipid)","BP","GO:0044419","biological process involved in interspecies interaction between organisms",11,0.7978169906172026,2.090190468440951,1.1023768921672172e-4,0.00773041795632261,0.007020400208012278,1330,"tags=73%, list=12%, signal=64%","103824282/103820351/103813055/103815911/103822351/103823962/103819051/103812959"
"Infection (lipid)","BP","GO:0051707","response to other organism",11,0.7978169906172026,2.090190468440951,1.1023768921672172e-4,0.00773041795632261,0.007020400208012278,1330,"tags=73%, list=12%, signal=64%","103824282/103820351/103813055/103815911/103822351/103823962/103819051/103812959"
"Infection (lipid)","BP","GO:0098542","defense response to other organism",11,0.7978169906172026,2.090190468440951,1.1023768921672172e-4,0.00773041795632261,0.007020400208012278,1330,"tags=73%, list=12%, signal=64%","103824282/103820351/103813055/103815911/103822351/103823962/103819051/103812959"
"Infection (lipid)","MF","GO:0003735","structural constituent of ribosome",35,-0.581439823498555,-2.0323325031997577,1.4919966729424642e-4,0.009300112594674694,0.008445922686598276,2327,"tags=63%, list=22%, signal=49%","103819445/103820195/103826008/103812360/103812957/103821868/103815291/103813272/103817571/103814742/103815368/103812879/103824808/103824076/103814016/103812989/103820545/103824530/103816764/103824148/103816293/103820125"
"Infection (lipid)","MF","GO:0005198","structural molecule activity",66,-0.4692325724622318,-1.9044549804092845,3.013232271752863e-4,0.016904233044533562,0.015351625468719848,2327,"tags=52%, list=22%, signal=41%","103819445/103820195/103818740/103826008/103812360/103821069/103812957/103821868/103815291/103815242/103813272/103817571/103814742/103815368/103812879/103824808/103824076/103814016/103812989/103820545/103813332/103824530/103816764/103820172/103824148/103813337/103816293/103820125/103813354/103813347/103826578/103825220/103813361/103813335"
"Infection (lipid)","BP","GO:0044281","small molecule metabolic process",129,0.3777355366230397,1.7600502275436751,3.534134417770785e-4,0.018024085530631003,0.016368622566517322,2418,"tags=35%, list=22%, signal=27%","103813189/103820477/103821581/103822944/103814023/103822868/103816036/103818803/103817229/103815752/103825954/103820500/103821040/103823720/103824172/103813389/103819363/103817065/103827212/103820784/103813925/103819574/103823189/103812799/103824825/103819810/103813771/103821348/103819442/103812914/103827350/103816039/103824404/103826803/103818585/103818197/103826637/103819341/103827134/103821551/103820123/103826768/103816058/103816017/103813180"
"Infection (lipid)","BP","GO:0009605","response to external stimulus",30,0.5607296532513717,1.9393307833374118,7.869504863396071e-4,0.03678993523637663,0.03341088029722542,1800,"tags=47%, list=17%, signal=39%","103824282/103820351/103821712/103813055/103815911/103822351/103812980/103823962/103819051/103813169/103812985/103812959/103822624/103818543"
"Infection (lipid)","BP","GO:0006950","response to stress",93,0.39180048597262707,1.7204171574950973,0.001131254774723773,0.04881799450923358,0.04433419521994382,2976,"tags=46%, list=28%, signal=34%","103824282/103820351/103813055/108961868/103820948/103821581/103815911/103822351/103812980/103820596/103818704/103823962/103826483/103821120/103819051/103819654/103816409/103812985/103827024/103812959/103825661/103815253/103827103/103826693/103817746/103827354/103821212/103820061/103813816/103820776/103821056/103816444/103819374/103826604/103819492/103816948/103817150/103814339/103826499/103827243/103818594/103823161/103815624"
"Eye Score","CC","GO:0005840","ribosome",40,0.6711119893412748,2.853345067056439,1.0912935602376656e-10,3.626046965001136e-8,3.0072478816596347e-8,2432,"tags=78%, list=23%, signal=60%","103819845/103824076/103812360/103816764/103815368/103824148/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103813272/103814016/103819445/103817860/103824808/103824530/103812957/103820125/103816293/103812879/108961656/103813400/103820195/103826111/103826008/103812989/103819357/103815789"
"Eye Score","MF","GO:0003735","structural constituent of ribosome",35,0.6914838085692334,2.817821288629924,1.2927083654193e-10,3.626046965001136e-8,3.0072478816596347e-8,2432,"tags=80%, list=23%, signal=62%","103824076/103812360/103816764/103815368/103824148/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103813272/103814016/103819445/103817860/103824808/103824530/103812957/103820125/103816293/103812879/108961656/103820195/103826008/103812989/103819357/103815789"
"Eye Score","MF","GO:0005198","structural molecule activity",66,0.5206766852501599,2.4666650298554353,1.5439615767998094e-8,2.8872081486156434e-6,2.3944947963000558e-6,2432,"tags=58%, list=23%, signal=45%","103824076/103812360/103816764/103818740/103815368/103824148/103820545/103821868/103814742/103817571/103818729/103826578/103824232/103821337/103813272/103814016/103819445/103817860/103824808/103824530/103812957/103820125/103813361/103813354/103816293/103813245/103812879/108961656/103813347/103813332/103825220/103814564/103820195/103826008/103812989/103815242/103819357/103815789"
"Eye Score","BP","GO:0006518","peptide metabolic process",58,0.524440442419045,2.4071403673952605,8.873718666759203e-8,1.2445390430129782e-5,1.0321535922914651e-5,1336,"tags=47%, list=12%, signal=41%","103819845/103824076/103812360/103816764/103812407/103815368/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103827134/103813272/103814016/103819445/103817860/103824808/103824530/103820009/103812957/103820125/103821499/103816293/103815355/108961656"
"Eye Score","BP","GO:0043604","amide biosynthetic process",60,0.5163916480780731,2.3940781007083194,1.793957909243601e-7,2.0128207741713203e-5,1.6693250439698352e-5,2432,"tags=60%, list=23%, signal=47%","103819845/103824076/103812360/103816764/103812407/103815368/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103821875/103827134/103813272/103814016/103819445/103817860/103824808/103824530/103820009/103812957/103820125/103821499/103816293/103815355/108961656/103820195/103826111/103826008/103826729/103812989/103820027/103819357/103815789"
"Eye Score","BP","GO:0043043","peptide biosynthetic process",53,0.5373057327781732,2.4002706463300827,2.466297221524445e-7,2.3059879021253563e-5,1.912462055989131e-5,1336,"tags=51%, list=12%, signal=45%","103819845/103824076/103812360/103816764/103812407/103815368/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103827134/103813272/103814016/103819445/103817860/103824808/103824530/103820009/103812957/103820125/103821499/103816293/103815355/108961656"
"Eye Score","BP","GO:0043603","amide metabolic process",72,0.47721609120690833,2.303658963959685,3.039904625588814e-7,2.4362664213647494e-5,2.0205080368575277e-5,3264,"tags=64%, list=30%, signal=45%","103819845/103824076/103812360/103816764/103812407/103815368/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103821875/103827134/103813272/103814016/103819445/103817860/103824808/103824530/103820009/103812957/103820125/103821499/103816293/103815355/108961656/103820195/103826111/103826008/103826729/103812989/103820027/103819357/103815789/103820088/103819341/103821916/103822097/103826653/103819571/103814085/103813219/103817838/103826968"
"Eye Score","BP","GO:0006412","translation",52,0.5296875586744099,2.359934808896409,4.0921228433232594e-7,2.8696011438804356e-5,2.3798924957222114e-5,1336,"tags=50%, list=12%, signal=44%","103819845/103824076/103812360/103816764/103812407/103815368/103820545/103821868/103814742/103817571/103818729/103824232/103821337/103827134/103813272/103814016/103819445/103817860/103824808/103824530/103812957/103820125/103821499/103816293/103815355/108961656"
"Eye Score","BP","GO:0030163","protein catabolic process",42,-0.5401142097190974,-2.3602147267935836,4.0441519104333865e-6,2.26876922175313e-4,1.88159488885427e-4,2768,"tags=64%, list=26%, signal=48%","103822523/103826787/103827382/103819004/103815777/103816972/103815335/103820061/103824591/103813393/103820051/103820740/103818683/103814940/103818594/103824987/103816334/103814361/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103826536"
"Eye Score","BP","GO:0006508","proteolysis",101,-0.3975297323339965,-2.097412859918863,3.8135671148583473e-6,2.26876922175313e-4,1.88159488885427e-4,2396,"tags=42%, list=22%, signal=33%","103819004/103813389/103815065/103816107/103815777/103816972/103821935/103820061/103814507/103824591/103813393/103813206/103820051/103827179/103820740/103818683/103814940/103818594/103818156/103814509/103814445/103824987/103816334/103821403/103826631/103821214/103814361/103814508/103820525/103812586/103826570/103816392/103820867/103818114/103825159/103822463/103820710/103826003/103823620/103820776/103818584/103826536"
"Eye Score","BP","GO:0009057","macromolecule catabolic process",55,-0.4860655941862135,-2.2652076235073806,4.872675465724515e-6,2.4850644875195027e-4,2.060978522344723e-4,2639,"tags=58%, list=24%, signal=44%","103822523/103826787/103827382/103816397/103819004/103815777/103816972/103815335/103820061/103813572/103824591/103813393/103820051/103814417/103820740/103818683/103814940/103818594/103824055/103824987/103816334/103814361/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103825990/103826536"
"Eye Score","BP","GO:0051603","proteolysis involved in protein catabolic process",40,-0.5424086528859798,-2.3180786365479613,6.011961188055979e-6,2.81059185541617e-4,2.3309533729129323e-4,2768,"tags=65%, list=26%, signal=49%","103822523/103826787/103827382/103819004/103815777/103816972/103820061/103824591/103813393/103820051/103820740/103818683/103814940/103818594/103824987/103816334/103814361/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103826536"
"Eye Score","BP","GO:0006511","ubiquitin-dependent protein catabolic process",36,-0.5476162020155811,-2.304835114082336,1.2754312180230082e-5,5.110835095077911e-4,4.2386511155351105e-4,2768,"tags=67%, list=26%, signal=50%","103822523/103826787/103827382/103819004/103815777/103816972/103824591/103813393/103820051/103820740/103818683/103814940/103818594/103824987/103816334/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103826536"
"Eye Score","BP","GO:0019941","modification-dependent protein catabolic process",36,-0.5476162020155811,-2.304835114082336,1.2754312180230082e-5,5.110835095077911e-4,4.2386511155351105e-4,2768,"tags=67%, list=26%, signal=50%","103822523/103826787/103827382/103819004/103815777/103816972/103824591/103813393/103820051/103820740/103818683/103814940/103818594/103824987/103816334/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103826536"
"Eye Score","MF","GO:0016755","aminoacyltransferase activity",40,-0.5256927716633419,-2.2466403824804777,1.5537108469671908e-5,5.810878567657293e-4,4.819229434101742e-4,1140,"tags=38%, list=11%, signal=34%","103820740/103814640/103821581/103817564/103826107/103818640/103826276/103827013/103820360/103818114/103826724/103814970/103823620/103820776/103818584"
"Eye Score","MF","GO:0019787","ubiquitin-like protein transferase activity",36,-0.5343341447671642,-2.248932911370423,2.7617356039757874e-5,9.683335461440105e-4,8.030836427350645e-4,1140,"tags=39%, list=11%, signal=35%","103820740/103814640/103821581/103817564/103826107/103826276/103827013/103820360/103818114/103826724/103814970/103823620/103820776/103818584"
"Eye Score","MF","GO:0004842","ubiquitin-protein transferase activity",35,-0.5358536455298759,-2.2343923073599727,3.55005111044567e-5,0.001171516866447071,9.715929354903939e-4,1140,"tags=40%, list=11%, signal=36%","103820740/103814640/103821581/103817564/103826107/103826276/103827013/103820360/103818114/103826724/103814970/103823620/103820776/103818584"
"Eye Score","BP","GO:0043632","modification-dependent macromolecule catabolic process",37,-0.524713148458562,-2.2061770059370924,4.087211573249137e-5,0.001273847606995981,0.0010564605353076718,2768,"tags=65%, list=26%, signal=48%","103822523/103826787/103827382/103819004/103815777/103816972/103824591/103813393/103820051/103820740/103818683/103814940/103818594/103824987/103816334/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103826536"
"Eye Score","BP","GO:0070647","protein modification by small protein conjugation or removal",72,-0.4047905081244346,-1.9833275348022745,5.877144299319925e-5,0.0017353041852202515,0.001439167745318231,2267,"tags=43%, list=21%, signal=34%","103819004/103815777/103819085/103816972/103818077/103822143/103817086/103824591/103813393/103827226/103820051/103820740/103814940/103814640/103817564/103816334/103821403/103826107/103821214/103827013/103820525/103812586/103816392/103820360/103820867/103818096/103818114/103825159/103826724/103820776/103818584"
"Eye Score","CC","GO:1990904","ribonucleoprotein complex",83,0.3823843453404049,1.9064612055163805,8.714190253987774e-5,0.002444330366243571,0.0020271958380329454,1336,"tags=33%, list=12%, signal=29%","103819845/103818036/103824076/103812360/103816764/103815368/103824148/103820545/103821868/103814742/103817571/103813752/103818729/103820374/103824232/103821337/103813272/103814016/103819445/103817860/103824808/103824530/103820125/103816293/103812879/103817743/108961656"
"Eye Score","BP","GO:0010498","proteasomal protein catabolic process",14,-0.7018265200429401,-2.216975862207424,0.00013076248832229951,0.0034932264737528584,0.002897093726238415,2205,"tags=79%, list=20%, signal=63%","103816972/103820061/103824591/103820051/103820740/103818683/103818594/103814361/103823620/103820776/103826536"
"Eye Score","BP","GO:0009889","regulation of biosynthetic process",112,-0.3415042583829301,-1.8344038865130312,1.621467458611025e-4,0.0036385729771231407,0.003017636280867676,2629,"tags=38%, list=24%, signal=29%","103820437/103822554/103824058/103812392/103815727/103816397/103818090/103820375/103816677/103819373/103822808/103813572/103815057/103826622/103821320/103826511/103817268/103812960/103812249/103820553/103817079/103820039/103817243/103822156/103821038/103827425/103814417/103825680/103824055/103817887/103812950/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103815315/103825990/103813295/103826521"
"Eye Score","BP","GO:0010468","regulation of gene expression",112,-0.3415042583829301,-1.8344038865130312,1.621467458611025e-4,0.0036385729771231407,0.003017636280867676,2629,"tags=38%, list=24%, signal=29%","103820437/103822554/103824058/103812392/103815727/103816397/103818090/103820375/103816677/103819373/103822808/103813572/103815057/103826622/103821320/103826511/103817268/103812960/103812249/103820553/103817079/103820039/103817243/103822156/103821038/103827425/103814417/103825680/103824055/103817887/103812950/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103815315/103825990/103813295/103826521"
"Eye Score","BP","GO:0010556","regulation of macromolecule biosynthetic process",112,-0.3415042583829301,-1.8344038865130312,1.621467458611025e-4,0.0036385729771231407,0.003017636280867676,2629,"tags=38%, list=24%, signal=29%","103820437/103822554/103824058/103812392/103815727/103816397/103818090/103820375/103816677/103819373/103822808/103813572/103815057/103826622/103821320/103826511/103817268/103812960/103812249/103820553/103817079/103820039/103817243/103822156/103821038/103827425/103814417/103825680/103824055/103817887/103812950/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103815315/103825990/103813295/103826521"
"Eye Score","BP","GO:0031326","regulation of cellular biosynthetic process",112,-0.3415042583829301,-1.8344038865130312,1.621467458611025e-4,0.0036385729771231407,0.003017636280867676,2629,"tags=38%, list=24%, signal=29%","103820437/103822554/103824058/103812392/103815727/103816397/103818090/103820375/103816677/103819373/103822808/103813572/103815057/103826622/103821320/103826511/103817268/103812960/103812249/103820553/103817079/103820039/103817243/103822156/103821038/103827425/103814417/103825680/103824055/103817887/103812950/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103815315/103825990/103813295/103826521"
"Eye Score","BP","GO:0009056","catabolic process",130,-0.32109525581622744,-1.777748647886089,1.6950113390231883e-4,0.0036573129276615715,0.0030331781856204423,2639,"tags=40%, list=24%, signal=31%","103826787/103827382/103817065/103812698/103816397/103819004/103815065/103815777/103816972/103815335/103820061/103825954/103813572/103824591/103823709/103813393/103813246/103822145/103823972/103820051/103819174/103815461/115483832/103814417/103818101/103820740/103818683/103814940/103818594/103824055/103820159/103824987/103816334/103813931/103814801/103815856/103826442/103814361/103816730/103820525/103820368/103816392/103820867/103818114/103825159/103826684/103823620/103820776/103818584/103825990/103813189/103826536"
"Eye Score","CC","GO:0005739","mitochondrion",114,0.34212334583901444,1.8124565299299717,2.052065001061765e-4,0.004263735057761667,0.0035361120096269014,3248,"tags=46%, list=30%, signal=33%","103821870/103827120/103822378/103819559/103823174/103824148/103813813/103814997/103813968/103813854/103817222/103818255/103818806/103819836/103818939/103816398/103821959/103819907/103819765/103813297/103812613/103818674/103823671/108961656/103826359/103816712/103813310/103814457/103813400/103826733/103826618/103819677/103820195/103826111/103815391/103826729/108962077/103819133/103827112/103821020/103822155/103817374/103814572/103820088/103816070/103825440/103824386/103820468/103813478/103823857/103814011/103827420/103817838"
"Eye Score","MF","GO:0140657","ATP-dependent activity",100,-0.35059913165754114,-1.8347693975818515,2.165079450552892e-4,0.004337891327714901,0.0035976132223472872,2535,"tags=40%, list=23%, signal=31%","103815326/103815339/103812935/103816680/103826455/103818454/103822823/103822166/103818984/103817086/103818663/103813329/103815022/103813507/103814072/103821644/103816341/103823319/103817702/103825626/103818170/103820063/103819384/103816191/103818641/103814183/103818812/103813911/103826375/103818689/103823628/103817259/103819758/103814341/103821238/103826570/103813942/103820665/103815775/103815745"
"Eye Score","CC","GO:0044391","ribosomal subunit",15,0.6509479949198069,2.095389192982655,2.5569392279307804e-4,0.004946354851272992,0.004102240068041397,2766,"tags=80%, list=26%, signal=60%","103819845/103824076/103814742/103817571/103821337/103814016/103820125/103812879/103812989/103819357/103815789/103820088"
"Eye Score","BP","GO:0043687","post-translational protein modification",81,-0.37629266516720994,-1.9060876097847357,3.081802676383672e-4,0.005762971004837467,0.004779497484075731,2267,"tags=38%, list=21%, signal=30%","103815777/103819085/103816972/103818077/103822143/103817086/103824591/103813393/103827226/103820051/103823538/103820740/103814940/103814640/103817564/103816334/103821403/103826107/103821214/103827013/103820525/103812586/103816392/103820360/103820867/103818096/103818114/103825159/103826724/103820776/103818584"
"Eye Score","BP","GO:0016071","mRNA metabolic process",64,-0.3986092720954876,-1.9171999897911693,3.1915443251447995e-4,0.0057756656980846215,0.0047900257783157945,1991,"tags=39%, list=18%, signal=32%","103822143/103818115/103813572/103823517/103818703/103821385/103814848/103822156/103814876/103814417/103821843/103817564/103824055/103825967/103827269/103821153/103823669/103820136/103826501/103820563/103820665/103826468/103813559/103825990/103817240"
"Eye Score","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",11,-0.713017601506575,-2.0737760025314276,3.709821788476615e-4,0.006378179077822755,0.005289717895482986,2205,"tags=82%, list=20%, signal=65%","103816972/103824591/103820051/103820740/103818683/103818594/103823620/103820776/103826536"
"Eye Score","MF","GO:0008234","cysteine-type peptidase activity",32,-0.49498787586191506,-2.0111113915836727,3.751870045778091e-4,0.006378179077822755,0.005289717895482986,1102,"tags=41%, list=10%, signal=37%","103814940/103814509/103814445/103816334/103821403/103821214/103814508/103820525/103812586/103820867/103825159/103820710/103826003"
"Eye Score","BP","GO:1901565","organonitrogen compound catabolic process",59,-0.4009373196060566,-1.8911737343127173,4.813909576137538e-4,0.007942950800626937,0.006587455209451369,2639,"tags=51%, list=24%, signal=39%","103826787/103827382/103819004/103815777/103816972/103815335/103820061/103825954/103824591/103813393/103813246/103823972/103820051/103820740/103818683/103814940/103818594/103824987/103816334/103815856/103814361/103820525/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103826536"
"Eye Score","MF","GO:0003724","RNA helicase activity",13,-0.6419400243230531,-2.00257033639028,0.0010133168935312173,0.016242022207743227,0.013470257652354831,3067,"tags=85%, list=28%, signal=61%","103821332/103817366/103819779/103815326/103826455/103813329/103823319/103818812/103817259/103820665/103815775"
"Eye Score","CC","GO:0005740","mitochondrial envelope",64,0.3848254646267774,1.8175933237522912,0.0011679607773730316,0.018200722114063077,0.015094697766049124,3231,"tags=50%, list=30%, signal=35%","103821870/103827120/103822378/103819559/103813813/103813968/103813854/103817222/103818939/103816398/103819907/103819765/103823671/103816712/103813310/103814457/103826733/103826618/103819677/103815391/108962077/103819133/103827112/103822155/103817374/103825440/103824386/103820468/103813478/103823857/103814011/103827420"
"Eye Score","BP","GO:0032446","protein modification by small protein conjugation",53,-0.4058491104811067,-1.882058876368707,0.0012738565747879764,0.018806145748843546,0.01559680349186387,2228,"tags=40%, list=21%, signal=32%","103819085/103816972/103818077/103822143/103817086/103824591/103827226/103820051/103820740/103814640/103817564/103826107/103827013/103812586/103816392/103820360/103818096/103818114/103826724/103820776/103818584"
"Eye Score","BP","GO:0006397","mRNA processing",54,-0.40110477398891287,-1.8605200563570026,0.0012407182785907462,0.018806145748843546,0.01559680349186387,1991,"tags=39%, list=18%, signal=32%","103822143/103818115/103823517/103818703/103821385/103814848/103822156/103814876/103821843/103817564/103825967/103827269/103821153/103823669/103820136/103826501/103820563/103820665/103826468/103813559/103817240"
"Eye Score","MF","GO:0008186","ATP-dependent activity, acting on RNA",14,-0.6322202218390063,-1.9970989003532442,0.0015180832064430353,0.02129111697036357,0.017657704664416362,3067,"tags=79%, list=28%, signal=56%","103821332/103817366/103819779/103815326/103826455/103813329/103823319/103818812/103817259/103820665/103815775"
"Eye Score","CC","GO:0031966","mitochondrial membrane",60,0.3847048398109882,1.7835560192653253,0.0015130814488067217,0.02129111697036357,0.017657704664416362,3231,"tags=50%, list=30%, signal=35%","103821870/103827120/103822378/103819559/103813813/103813968/103813854/103817222/103818939/103816398/103819907/103819765/103823671/103813310/103814457/103826733/103826618/103819677/103815391/108962077/103819133/103822155/103817374/103825440/103824386/103820468/103813478/103823857/103814011/103827420"
"Eye Score","MF","GO:0061659","ubiquitin-like protein ligase activity",17,-0.5741106108338837,-1.9647277315078524,0.0016085872830702286,0.022010182092741422,0.018254058513916333,2205,"tags=53%, list=20%, signal=42%","103816972/103822143/103820740/103814640/103817564/103818114/103823620/103820776/103818584"
"Eye Score","BP","GO:0016567","protein ubiquitination",51,-0.3999376527698576,-1.8358536935053462,0.001956656827071007,0.02613534476159131,0.021675246054270302,2228,"tags=39%, list=21%, signal=31%","103819085/103816972/103818077/103822143/103824591/103827226/103820051/103820740/103814640/103817564/103826107/103827013/103812586/103816392/103820360/103818096/103818114/103826724/103820776/103818584"
"Eye Score","CC","GO:0031967","organelle envelope",81,0.3394809241389305,1.686260771888283,0.0023251847809911716,0.028357144829044504,0.023517887258537706,3231,"tags=47%, list=30%, signal=33%","103821870/103827120/103822378/103819559/103813813/103813968/103813854/103817222/103818939/103816398/103819907/103819765/103814971/103818674/103823671/103816712/103813310/103814457/103826733/103819652/103826618/103819677/103814564/103815391/108962077/103819133/103827112/103814125/103822155/103817374/103825440/103824386/103823973/103820468/103813478/103823857/103814011/103827420"
"Eye Score","CC","GO:0031975","envelope",81,0.3394809241389305,1.686260771888283,0.0023251847809911716,0.028357144829044504,0.023517887258537706,3231,"tags=47%, list=30%, signal=33%","103821870/103827120/103822378/103819559/103813813/103813968/103813854/103817222/103818939/103816398/103819907/103819765/103814971/103818674/103823671/103816712/103813310/103814457/103826733/103819652/103826618/103819677/103814564/103815391/108962077/103819133/103827112/103814125/103822155/103817374/103825440/103824386/103823973/103820468/103813478/103823857/103814011/103827420"
"Eye Score","MF","GO:0016746","acyltransferase activity",91,-0.32167754475920457,-1.6582201656725974,0.0022400335687780895,0.028357144829044504,0.023517887258537706,2324,"tags=47%, list=22%, signal=37%","103818637/103813289/103815988/103824692/103818954/103816665/103826085/103816736/103818008/103813784/103822121/103815759/103826086/103816972/103818077/103816734/103822143/103813246/103821647/103818092/103820591/103816683/103821040/103820740/103819026/103814907/103814640/103821581/103817564/103812315/103812699/103826107/103815856/103818640/103826276/103827013/103820360/103818114/103826724/103814970/103823620/103820776/103818584"
"Eye Score","BP","GO:1901575","organic substance catabolic process",112,-0.30385656468609384,-1.6321777826197963,0.002303336058177177,0.028357144829044504,0.023517887258537706,2639,"tags=39%, list=24%, signal=30%","103826787/103827382/103817065/103812698/103816397/103819004/103815777/103816972/103815335/103820061/103825954/103813572/103824591/103823709/103813393/103813246/103823972/103820051/103819174/103814417/103820740/103818683/103814940/103818594/103824055/103824987/103816334/103813931/103814801/103815856/103814361/103816730/103820525/103820368/103816392/103820867/103818114/103825159/103823620/103820776/103818584/103825990/103813189/103826536"
"Eye Score","BP","GO:0008380","RNA splicing",44,-0.4187554565156729,-1.8409753160387416,0.0023844041481262384,0.028460653768059993,0.02360373199264944,3136,"tags=57%, list=29%, signal=40%","103820769/103824704/103817366/103821944/103824886/103819779/103813318/103822143/103818115/103823517/103818703/103821385/103814848/103822156/103821843/103825967/103827269/103821153/103820136/103824405/103826501/103815035/103820563/103813559/103817240"
"Eye Score","BP","GO:0031323","regulation of cellular metabolic process",129,-0.2895932110991492,-1.6007841618820717,0.002471388848808955,0.028884357170454664,0.0239551287538061,2629,"tags=35%, list=24%, signal=27%","103820437/103822554/103824058/103812392/103815727/103816397/103818090/103820375/103816677/103819373/103822808/103813572/103815057/103826622/103821320/103826511/103817268/103812960/103812249/103823455/103820553/103817079/103820039/103817243/103822156/103821038/103827425/115483832/103814417/103825680/103824055/103817887/103812950/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103815315/103825990/103813295/103826521"
"Eye Score","BP","GO:0080090","regulation of primary metabolic process",126,-0.28766608369637514,-1.5809933411369976,0.003341301582161832,0.038254493624342606,0.031726214808067234,2629,"tags=34%, list=24%, signal=26%","103820437/103822554/103824058/103812392/103815727/103820375/103816677/103815335/103819373/103822808/103815057/103826622/103821320/103826511/103817268/103812960/103823730/103812249/103823455/103820553/103817079/103813206/103820039/103817243/103821038/103827425/103814417/103818156/103825680/103817887/103812950/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103815315/103825990/103813295/103826521"
"Eye Score","BP","GO:0051252","regulation of RNA metabolic process",92,-0.3121769860767557,-1.6148267370300484,0.00360435977235463,0.040440916645818954,0.033539516197489405,2725,"tags=37%, list=25%, signal=28%","103814913/103820437/103822554/103824058/103812392/103815727/103820375/103819373/103822808/103815057/103826622/103821320/103826511/103817268/103812960/103812249/103820039/103817243/103821038/103827425/103814417/103825680/103817887/103820136/103824405/103816302/103815930/103820563/103823764/103819809/103820382/103825990/103813295/103826521"
"Eye Score","MF","GO:0061630","ubiquitin protein ligase activity",16,-0.5780330882320925,-1.924356326706283,0.0038661143012107984,0.04252725731331878,0.03526981467771255,2205,"tags=56%, list=20%, signal=45%","103816972/103822143/103820740/103814640/103817564/103818114/103823620/103820776/103818584"
"Eye Score","CC","GO:0005743","mitochondrial inner membrane",39,0.41331786605084075,1.7364325846963795,0.004629412777099503,0.04994424169140041,0.04142106168983766,3117,"tags=46%, list=29%, signal=33%","103821870/103827120/103822378/103813813/103813968/103817222/103818939/103816398/103823671/103813310/103826618/103819677/103815391/103819133/103822155/103825440/103824386/103813478"
"Pathogen Load","MF","GO:0003735","structural constituent of ribosome",35,-0.7955358822262045,-2.7555627296492746,1e-10,2.805e-8,2.5947368421052632e-8,1397,"tags=77%, list=13%, signal=67%","103816764/103820088/103812879/103824148/103819357/103819445/103817571/103812957/103814742/103817838/103821868/103812360/103818729/103813272/103824232/103812989/103824530/103824076/103824808/103820545/103815291/103817860/103814016/103816293/103820125/103826008/103815368"
"Pathogen Load","CC","GO:0005840","ribosome",40,-0.7601969460166622,-2.714842434852735,1e-10,2.805e-8,2.5947368421052632e-8,1699,"tags=72%, list=16%, signal=61%","103813400/103819845/103816764/103820088/103812879/103824148/103819357/103819445/103817571/103812957/103814742/103817838/103821868/103812360/103818729/103813272/103824232/103812989/103824530/103824076/103824808/103820545/103815291/103817860/103814016/103816293/103820125/103826008/103815368"
"Pathogen Load","BP","GO:0006412","translation",52,-0.6915895499805536,-2.6394127478960927,3.136131167911021e-10,5.864565283993609e-8,5.424956722035556e-8,1446,"tags=69%, list=13%, signal=60%","103820740/103821337/108961656/103812407/103813219/103819845/103813251/103816764/103822097/103820088/103819357/103815355/103819445/103817571/103812957/103814742/103817838/103821868/103812360/103818729/103813272/103824232/103812989/103824530/103827119/103824076/103824808/103820545/103815291/103817860/103814085/103814016/103816293/103820125/103826008/103815368"
