entrezgene_id	ensembl_gene_id	wikigene_name	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene_tag	gene
103818644	ENSSCAG00000013715	NCOA5	nuclear receptor coactivator 5	NCOA5	NCOA5	nuclear receptor coactivator 5	NCOA5	LOC103818644	103818644
103818645	ENSSCAG00000013834	LOC103818645	matrix metalloproteinase-9	MMP9	MMP9	matrix metallopeptidase 9	MMP9	LOC103818645	103818645
103818646	ENSSCAG00000013848	ZNF335	zinc finger protein 335	ZNF335	ZNF335	zinc finger protein 335	ZNF335	LOC103818646	103818646
103818647	ENSSCAG00000013867	PCIF1	PDX1 C-terminal inhibiting factor 1	PCIF1	PCIF1	phosphorylated CTD interacting factor 1	PCIF1	LOC103818647	103818647
103818648	ENSSCAG00000000060	LOC103818648	solute carrier family 22 member 16	SLC22A16	SLC22A16	solute carrier family 22 member 16	SLC22A16	LOC103818648	103818648
103818648	ENSSCAG00000000067	LOC103818648	solute carrier family 22 member 16	DDO	SLC22A16	solute carrier family 22 member 16	SLC22A16	LOC103818648	103818648
103818649	ENSSCAG00000013873	PLTP	phospholipid transfer protein	PLTP	PLTP	phospholipid transfer protein	PLTP	LOC103818649	103818649
103818650	ENSSCAG00000013899	NEURL2	neuralized E3 ubiquitin protein ligase 2	NEURL2	NEURL2	neuralized E3 ubiquitin protein ligase 2	NEURL2	LOC103818650	103818650
103818651	ENSSCAG00000013882	CTSA	cathepsin A	CTSA	CTSA	cathepsin A	CTSA	LOC103818651	103818651
103818652	ENSSCAG00000013918	TNNC2	troponin C2, fast skeletal type	TNNC2	TNNC2	troponin C2, fast skeletal type	TNNC2	LOC103818652	103818652
103818654	ENSSCAG00000014026	TTI1	TELO2 interacting protein 1	TTI1	TTI1	TELO2 interacting protein 1	TTI1	LOC103818654	103818654
103818656	ENSSCAG00000014099	CDK5RAP1	CDK5 regulatory subunit associated protein 1	CDK5RAP1	CDK5RAP1	CDK5 regulatory subunit associated protein 1	CDK5RAP1	LOC103818656	103818656
103818658	ENSSCAG00000014198	MAPRE1	microtubule associated protein RP/EB family member 1	MAPRE1	MAPRE1	microtubule associated protein RP/EB family member 1	MAPRE1	LOC103818658	103818658
103818660	ENSSCAG00000014202	DNMT3B	DNA methyltransferase 3 beta	DNMT3B	DNMT3B	DNA methyltransferase 3 beta	DNMT3B	LOC103818660	103818660
103818661	ENSSCAG00000014210	COMMD7	COMM domain containing 7	COMMD7	COMMD7	COMM domain containing 7	COMMD7	LOC103818661	103818661
103818662	ENSSCAG00000014227	ASXL1	ASXL transcriptional regulator 1	ASXL1	ASXL1	ASXL transcriptional regulator 1	ASXL1	LOC103818662	103818662
103818663	ENSSCAG00000014238	KIF3B	kinesin family member 3B	KIF3B	KIF3B	kinesin family member 3B	KIF3B	LOC103818663	103818663
103818664	ENSSCAG00000014245	POFUT1	protein O-fucosyltransferase 1	POFUT1	POFUT1	protein O-fucosyltransferase 1	POFUT1	LOC103818664	103818664
103818665	ENSSCAG00000014263	HCK	HCK proto-oncogene, Src family tyrosine kinase	HCK	HCK	HCK proto-oncogene, Src family tyrosine kinase	HCK	LOC103818665	103818665
103818666	ENSSCAG00000014255	TM9SF4	transmembrane 9 superfamily member 4	TM9SF4	TM9SF4	transmembrane 9 superfamily member 4	TM9SF4	LOC103818666	103818666
103818667	ENSSCAG00000014251	PLAGL2	PLAG1 like zinc finger 2	PLAGL2	PLAGL2	PLAG1 like zinc finger 2	PLAGL2	LOC103818667	103818667
103818668	ENSSCAG00000000081	WASF1	WASP family member 1	WASF1	WASF1	WASP family member 1	WASF1	LOC103818668	103818668
103818670	ENSSCAG00000014297	PDRG1	p53 and DNA damage regulated 1	PDRG1	PDRG1	p53 and DNA damage regulated 1	PDRG1	LOC103818670	103818670
103818673	ENSSCAG00000014314	TPX2	TPX2 microtubule nucleation factor	TPX2	TPX2	TPX2 microtubule nucleation factor	TPX2	LOC103818673	103818673
103818674	ENSSCAG00000014323	BCL2L1	BCL2 like 1	BCL2L1	BCL2L1	BCL2 like 1	BCL2L1	LOC103818674	103818674
103818675	ENSSCAG00000014353	TBC1D20	TBC1 domain family member 20	TBC1D20	TBC1D20	TBC1 domain family member 20	TBC1D20	LOC103818675	103818675
103818676	ENSSCAG00000014355	CSNK2A1	casein kinase 2 alpha 1		CSNK2A1	casein kinase 2 alpha 1	CSNK2A1	LOC103818676	103818676
103818677	ENSSCAG00000014360	TCF15	transcription factor 15	TCF15	TCF15	transcription factor 15	TCF15	LOC103818677	103818677
103818679	ENSSCAG00000014363	SRXN1	sulfiredoxin 1	SRXN1	SRXN1	sulfiredoxin 1	SRXN1	LOC103818679	103818679
103818680	ENSSCAG00000014370	SLC52A3	solute carrier family 52 member 3	SLC52A3	SLC52A3	solute carrier family 52 member 3	SLC52A3	LOC103818680	103818680
103818681	ENSSCAG00000014372	FAM110A	family with sequence similarity 110 member A	FAM110A	FAM110A	family with sequence similarity 110 member A	FAM110A	LOC103818681	103818681
103818682	ENSSCAG00000014378	RSPO4	R-spondin 4	RSPO4	RSPO4	R-spondin 4	RSPO4	LOC103818682	103818682
103818683	ENSSCAG00000014382	PSMF1	proteasome inhibitor subunit 1	PSMF1	PSMF1	proteasome inhibitor subunit 1	PSMF1	LOC103818683	103818683
103818684	ENSSCAG00000014391	SDCBP2	syndecan binding protein 2	SDCBP2	SDCBP2	syndecan binding protein 2	SDCBP2	LOC103818684	103818684
103818686	ENSSCAG00000014398	NSFL1C	NSFL1 cofactor	NSFL1C	NSFL1C	NSFL1 cofactor	NSFL1C	LOC103818686	103818686
103818689	ENSSCAG00000014432	HELZ2	helicase with zinc finger 2	HELZ2	HELZ2	helicase with zinc finger 2	HELZ2	LOC103818689	103818689
103818690	ENSSCAG00000014437	GMEB2	glucocorticoid modulatory element binding protein 2	GMEB2	GMEB2	glucocorticoid modulatory element binding protein 2	GMEB2	LOC103818690	103818690
103818691	ENSSCAG00000014438	STMN3	stathmin 3	STMN3	STMN3	stathmin 3	STMN3	LOC103818691	103818691
103818692	ENSSCAG00000014443	RTEL1	regulator of telomere elongation helicase 1	RTEL1	RTEL1	regulator of telomere elongation helicase 1	RTEL1	LOC103818692	103818692
103818693	ENSSCAG00000014463	TNFRSF6B	TNF receptor superfamily member 6b	TNFRSF6B	TNFRSF6B	TNF receptor superfamily member 6b	TNFRSF6B	LOC103818693	103818693
103818694	ENSSCAG00000014465	ARFRP1	ADP ribosylation factor related protein 1	ARFRP1	ARFRP1	ADP ribosylation factor related protein 1	ARFRP1	LOC103818694	103818694
103818695	ENSSCAG00000014469	ZGPAT	zinc finger CCCH-type and G-patch domain containing	ZGPAT	ZGPAT	zinc finger CCCH-type and G-patch domain containing	ZGPAT	LOC103818695	103818695
103818697	ENSSCAG00000014479	ZBTB46	zinc finger and BTB domain containing 46	ZBTB46	ZBTB46	zinc finger and BTB domain containing 46	ZBTB46	LOC103818697	103818697
103818698	ENSSCAG00000014486	TPD52L2	TPD52 like 2	TPD52L2	TPD52L2	TPD52 like 2	TPD52L2	LOC103818698	103818698
103818700	ENSSCAG00000014491	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	DNAJC5	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	DNAJC5	LOC103818700	103818700
103818701	ENSSCAG00000014498	UCKL1	uridine-cytidine kinase 1 like 1	UCKL1	UCKL1	uridine-cytidine kinase 1 like 1	UCKL1	LOC103818701	103818701
103818702	ENSSCAG00000014507	ZNF512B	zinc finger protein 512B	ZNF512B	ZNF512B	zinc finger protein 512B	ZNF512B	LOC103818702	103818702
103818703	ENSSCAG00000014517	PRPF6	pre-mRNA processing factor 6	PRPF6	PRPF6	pre-mRNA processing factor 6	PRPF6	LOC103818703	103818703
103818704	ENSSCAG00000000267	SESN1	sestrin 1	SESN1	SESN1	sestrin 1	SESN1	LOC103818704	103818704
103818705	ENSSCAG00000014543	TCEA2	transcription elongation factor A2	TCEA2	TCEA2	transcription elongation factor A2	TCEA2	LOC103818705	103818705
103818707	ENSSCAG00000014557	OPRL1	opioid related nociceptin receptor 1	OPRL1	OPRL1	opioid related nociceptin receptor 1	OPRL1	LOC103818707	103818707
103818708	ENSSCAG00000014565	MYT1	myelin transcription factor 1	MYT1	MYT1	myelin transcription factor 1	MYT1	LOC103818708	103818708
103818709	ENSSCAG00000014584	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	PCMTD2	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	PCMTD2	LOC103818709	103818709
103818710	ENSSCAG00000014590	LOC103818710	peroxidasin homolog		LOC103818710	peroxidasin homolog	LOC103818710	LOC103818710	103818710
103818711	ENSSCAG00000014600	LOC103818711	tyrosine-protein kinase Srms-like	SRMS	LOC103818711	tyrosine-protein kinase Srms-like	SRMS	LOC103818711	103818711
103818712	ENSSCAG00000014605	PPDPF	pancreatic progenitor cell differentiation and proliferation factor		PPDPF	pancreatic progenitor cell differentiation and proliferation factor	PPDPF	LOC103818712	103818712
103818713	ENSSCAG00000014611	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	EEF1A2	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	EEF1A2	LOC103818713	103818713
103818714	ENSSCAG00000014702	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	CHRNA4	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	CHRNA4	LOC103818714	103818714
103818715	ENSSCAG00000014712	COL20A1	collagen type XX alpha 1 chain		COL20A1	collagen type XX alpha 1 chain	COL20A1	LOC103818715	103818715
103818716	ENSSCAG00000014739	LOC103818716	DEP domain-containing mTOR-interacting protein-like		LOC103818716	DEP domain-containing mTOR-interacting protein-like	LOC103818716	LOC103818716	103818716
103818717	ENSSCAG00000014752	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	ARFGAP1	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	ARFGAP1	LOC103818717	103818717
103818718	ENSSCAG00000014776	BIRC7	baculoviral IAP repeat containing 7	BIRC7	BIRC7	baculoviral IAP repeat containing 7	BIRC7	LOC103818718	103818718
103818719	ENSSCAG00000014786	YTHDF1	YTH N6-methyladenosine RNA binding protein 1	YTHDF1	YTHDF1	YTH N6-methyladenosine RNA binding protein F1	YTHDF1	LOC103818719	103818719
103818720	ENSSCAG00000014826	GID8	GID complex subunit 8 homolog	GID8	GID8	GID complex subunit 8 homolog	GID8	LOC103818720	103818720
103818721	ENSSCAG00000014834	DIDO1	death inducer-obliterator 1	DIDO1	DIDO1	death inducer-obliterator 1	DIDO1	LOC103818721	103818721
103818722	ENSSCAG00000014842	TCFL5	transcription factor like 5	TCFL5	TCFL5	transcription factor like 5	TCFL5	LOC103818722	103818722
103818723	ENSSCAG00000014846	OGFR	opioid growth factor receptor	OGFR	OGFR	opioid growth factor receptor	OGFR	LOC103818723	103818723
103818724	ENSSCAG00000014854	MRGBP	MRG domain binding protein	MRGBP	MRGBP	MRG domain binding protein	MRGBP	LOC103818724	103818724
103818725	ENSSCAG00000014874	SLCO4A1	solute carrier organic anion transporter family member 4A1	SLCO4A1	SLCO4A1	solute carrier organic anion transporter family member 4A1	SLCO4A1	LOC103818725	103818725
103818727	ENSSCAG00000000302	ARMC2	armadillo repeat containing 2	ARMC2	ARMC2	armadillo repeat containing 2	ARMC2	LOC103818727	103818727
103818728	ENSSCAG00000014918	RBBP8NL	RBBP8 N-terminal like	RBBP8NL	RBBP8NL	RBBP8 N-terminal like	RBBP8NL	LOC103818728	103818728
103818729	ENSSCAG00000014930	RPS21	ribosomal protein S21	RPS21	RPS21	ribosomal protein S21	RPS21	LOC103818729	103818729
103818730	ENSSCAG00000015218	ADRM1	adhesion regulating molecule 1	ADRM1	ADRM1	ADRM1 26S proteasome ubiquitin receptor	ADRM1	LOC103818730	103818730
103818733	ENSSCAG00000015255	TAF4	TATA-box binding protein associated factor 4	TAF4	TAF4	TATA-box binding protein associated factor 4	TAF4	LOC103818733	103818733
103818734	ENSSCAG00000015272	FAM217B	family with sequence similarity 217 member B	FAM217B	FAM217B	family with sequence similarity 217 member B	FAM217B	LOC103818734	103818734
103818735	ENSSCAG00000015274	PPP1R3D	protein phosphatase 1 regulatory subunit 3D	PPP1R3D	PPP1R3D	protein phosphatase 1 regulatory subunit 3D	PPP1R3D	LOC103818735	103818735
103818736	ENSSCAG00000015276	PHACTR3	phosphatase and actin regulator 3	PHACTR3	PHACTR3	phosphatase and actin regulator 3	PHACTR3	LOC103818736	103818736
103818739	ENSSCAG00000015289	ATP5F1E	ATP synthase F1 subunit epsilon		ATP5F1E	ATP synthase F1 subunit epsilon	ATP5F1E	ATP5F1E	ATP5F1E
103818740	ENSSCAG00000015290	TUBB1	tubulin beta 1 class VI	TUBB1	TUBB1	tubulin beta 1 class VI	TUBB1	LOC103818740	103818740
103818741	ENSSCAG00000015298	NELFCD	negative elongation factor complex member C/D	NELFCD	NELFCD	negative elongation factor complex member C/D	NELFCD	LOC103818741	103818741
103818742	ENSSCAG00000015340	STX16	syntaxin 16	STX16	STX16	syntaxin 16	STX16	LOC103818742	103818742
103818743	ENSSCAG00000015308	NPEPL1	aminopeptidase like 1	NPEPL1	NPEPL1	aminopeptidase like 1	NPEPL1	LOC103818743	103818743
103818745	ENSSCAG00000015354	RAB22A	RAB22A, member RAS oncogene family	RAB22A	RAB22A	RAB22A, member RAS oncogene family	RAB22A	LOC103818745	103818745
103818746	ENSSCAG00000015362	LOC103818746	serine/threonine-protein phosphatase 4 regulatory subunit 1-like		LOC103818746	serine/threonine-protein phosphatase 4 regulatory subunit 1-like	LOC103818746	LOC103818746	103818746
103818747	ENSSCAG00000015373	PMEPA1	prostate transmembrane protein, androgen induced 1	PMEPA1	PMEPA1	prostate transmembrane protein, androgen induced 1	PMEPA1	LOC103818747	103818747
103818749	ENSSCAG00000015374	PCK1	phosphoenolpyruvate carboxykinase 1	PCK1	PCK1	phosphoenolpyruvate carboxykinase 1	PCK1	LOC103818749	103818749
103818751	ENSSCAG00000015388	RAE1	ribonucleic acid export 1	RAE1	RAE1	ribonucleic acid export 1	RAE1	LOC103818751	103818751
103818753	ENSSCAG00000015394	BMP7	bone morphogenetic protein 7	BMP7	BMP7	bone morphogenetic protein 7	BMP7	LOC103818753	103818753
103818754	ENSSCAG00000015415	RTF2	replication termination factor 2	RTF2	RTF2	replication termination factor 2	RTF2	RTF2	RTF2
103818758	ENSSCAG00000015426	AURKA	aurora kinase A	AURKA	AURKA	aurora kinase A	AURKA	LOC103818758	103818758
103818759	ENSSCAG00000015430	MC3R	melanocortin 3 receptor	MC3R	MC3R	melanocortin 3 receptor	MC3R	LOC103818759	103818759
103818760	ENSSCAG00000015438	DOK5	docking protein 5	DOK5	DOK5	docking protein 5	DOK5	LOC103818760	103818760
103818761	ENSSCAG00000015449	ZNF217	zinc finger protein 217	ZNF217	ZNF217	zinc finger protein 217	ZNF217	LOC103818761	103818761
103818762	ENSSCAG00000015452	TSHZ2	teashirt zinc finger homeobox 2	TSHZ2	TSHZ2	teashirt zinc finger homeobox 2	TSHZ2	LOC103818762	103818762
103818763	ENSSCAG00000015460	SALL4	spalt like transcription factor 4	SALL4	SALL4	spalt like transcription factor 4	SALL4	LOC103818763	103818763
103818764	ENSSCAG00000015512	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	KCNG1	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	KCNG1	LOC103818764	103818764
103818765	ENSSCAG00000015521	ADNP	activity dependent neuroprotector homeobox	ADNP	ADNP	activity dependent neuroprotector homeobox	ADNP	LOC103818765	103818765
103818766	ENSSCAG00000000565	SOBP	sine oculis binding protein homolog	SOBP	SOBP	sine oculis binding protein homolog	SOBP	LOC103818766	103818766
103818767	ENSSCAG00000015530	PARD6B	par-6 family cell polarity regulator beta	PARD6B	PARD6B	par-6 family cell polarity regulator beta	PARD6B	LOC103818767	103818767
103818768	ENSSCAG00000015538	RIPOR3	RIPOR family member 3	RIPOR3	RIPOR3	RIPOR family member 3	RIPOR3	RIPOR3	RIPOR3
103818769	ENSSCAG00000015550	PTPN1	protein tyrosine phosphatase non-receptor type 1	PTPN1	PTPN1	protein tyrosine phosphatase non-receptor type 1	PTPN1	LOC103818769	103818769
103818770	ENSSCAG00000015573	SPATA2	spermatogenesis associated 2	SPATA2	SPATA2	spermatogenesis associated 2	SPATA2	LOC103818770	103818770
103818771	ENSSCAG00000015592	KCNB1	potassium voltage-gated channel subfamily B member 1	KCNB1	KCNB1	potassium voltage-gated channel subfamily B member 1	KCNB1	LOC103818771	103818771
103818772	ENSSCAG00000015612	STAU1	staufen double-stranded RNA binding protein 1	STAU1	STAU1	staufen double-stranded RNA binding protein 1	STAU1	LOC103818772	103818772
103818773	ENSSCAG00000015620	CSE1L	chromosome segregation 1 like	CSE1L	CSE1L	chromosome segregation 1 like	CSE1L	LOC103818773	103818773
103818774	ENSSCAG00000015905	SULF2	sulfatase 2	SULF2	SULF2	sulfatase 2	SULF2	LOC103818774	103818774
103818775	ENSSCAG00000000615	BEND3	BEN domain containing 3	BEND3	BEND3	BEN domain containing 3	BEND3	LOC103818775	103818775
103818777	ENSSCAG00000015417	LOC103818777	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7	GCNT7	LOC103818777	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7	GCNT7	LOC103818777	103818777
103818786	ENSSCAG00000012134	MYBL2	MYB proto-oncogene like 2	MYBL2	MYBL2	MYB proto-oncogene like 2	MYBL2	LOC103818786	103818786
103818789	ENSSCAG00000012473	PLCG1	phospholipase C gamma 1	PLCG1	PLCG1	phospholipase C gamma 1	PLCG1	LOC103818789	103818789
103818791	ENSSCAG00000012488	LPIN3	lipin 3	LPIN3	LOC103818791	phosphatidate phosphatase LPIN3	LPIN3	LOC103818791	103818791
103818792	ENSSCAG00000012505	EMILIN3	elastin microfibril interfacer 3	EMILIN3	EMILIN3	elastin microfibril interfacer 3	EMILIN3	LOC103818792	103818792
103818793	ENSSCAG00000012536	GHRH	growth hormone releasing hormone		GHRH	growth hormone releasing hormone	GHRH	LOC103818793	103818793
103818794	ENSSCAG00000012560	PIGT	phosphatidylinositol glycan anchor biosynthesis class T	PIGT	PIGT	phosphatidylinositol glycan anchor biosynthesis class T	PIGT	LOC103818794	103818794
103818795	ENSSCAG00000000628	CD24	CD24 molecule		CD24	CD24 molecule	CD24	LOC103818795	103818795
103818796	ENSSCAG00000012578	SYS1	SYS1 golgi trafficking protein		SYS1	SYS1 golgi trafficking protein	SYS1	LOC103818796	103818796
103818797	ENSSCAG00000012626	STK4	serine/threonine kinase 4	STK4	STK4	serine/threonine kinase 4	STK4	LOC103818797	103818797
103818803	ENSSCAG00000012914	ADA	adenosine deaminase	ADA	ADA	adenosine deaminase	ADA	LOC103818803	103818803
103818804	ENSSCAG00000012936	FITM2	fat storage inducing transmembrane protein 2	FITM2	FITM2	fat storage inducing transmembrane protein 2	FITM2	LOC103818804	103818804
103818805	ENSSCAG00000012947	LOC103818805	thyrotropin-releasing hormone receptor-like		LOC103818805	thyrotropin-releasing hormone receptor-like	LOC103818805	LOC103818805	103818805
103818806	ENSSCAG00000000647	RTN4IP1	reticulon 4 interacting protein 1	RTN4IP1	RTN4IP1	reticulon 4 interacting protein 1	RTN4IP1	LOC103818806	103818806
103818807	ENSSCAG00000012949	OCSTAMP	osteoclast stimulatory transmembrane protein	OCSTAMP	OCSTAMP	osteoclast stimulatory transmembrane protein	OCSTAMP	LOC103818807	103818807
103818809	ENSSCAG00000013008	SLC2A10	solute carrier family 2 member 10	SLC2A10	SLC2A10	solute carrier family 2 member 10	SLC2A10	LOC103818809	103818809
103818810	ENSSCAG00000013639	LOC103818810	protein-glutamine gamma-glutamyltransferase 6-like	TGM6	LOC103818810	protein-glutamine gamma-glutamyltransferase 6-like	TGM6	LOC103818810	103818810
103818812	ENSSCAG00000013655	DDX27	DEAD-box helicase 27	DDX27	DDX27	DEAD-box helicase 27	DDX27	LOC103818812	103818812
103818813	ENSSCAG00000013659	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	SNRPB	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	SNRPB	LOC103818813	103818813
103818814	ENSSCAG00000013703	CDH22	cadherin 22	CDH22	CDH22	cadherin 22	CDH22	LOC103818814	103818814
103818817	ENSSCAG00000000675	CRYBG1	crystallin beta-gamma domain containing 1	CRYBG1	CRYBG1	crystallin beta-gamma domain containing 1	CRYBG1	CRYBG1	CRYBG1
103818822	ENSSCAG00000013926	UBE2C	ubiquitin conjugating enzyme E2 C	UBE2C	UBE2C	ubiquitin conjugating enzyme E2 C	UBE2C	LOC103818822	103818822
103818824	ENSSCAG00000013951	SPINT4	serine peptidase inhibitor, Kunitz type 4		SPINT4	serine peptidase inhibitor, Kunitz type 4	SPINT4	LOC103818824	103818824
103818825	ENSSCAG00000013955	LOC103818825	keratin-associated protein 10-4-like		LOC103818825	keratin-associated protein 10-4-like	LOC103818825	LOC103818825	103818825
103818828	ENSSCAG00000002385	LOC103818828	ovalbumin-like		LOC103818828	ovalbumin-like	LOC103818828	LOC103818828	103818828
103818829	ENSSCAG00000000793	ATG5	autophagy related 5	ATG5	ATG5	autophagy related 5	ATG5	LOC103818829	103818829
103818839	ENSSCAG00000014310	MYLK2	myosin light chain kinase 2	MYLK2	MYLK2	myosin light chain kinase 2	MYLK2	LOC103818839	103818839
103818840	ENSSCAG00000000801	PRDM1	PR/SET domain 1	PRDM1	PRDM1	PR/SET domain 1	PRDM1	LOC103818840	103818840
103818847	ENSSCAG00000014376	ANGPT4	angiopoietin 4	ANGPT4	ANGPT4	angiopoietin 4	ANGPT4	LOC103818847	103818847
103818849	ENSSCAG00000014389	SNPH	syntaphilin	SNPH	SNPH	syntaphilin	SNPH	LOC103818849	103818849
103818851	ENSSCAG00000000866	PREP	prolyl endopeptidase	PREP	PREP	prolyl endopeptidase	PREP	LOC103818851	103818851
103818852	ENSSCAG00000014411	LOC103818852	tyrosine-protein phosphatase non-receptor type substrate 1-like		LOC103818852	tyrosine-protein phosphatase non-receptor type substrate 1-like	LOC103818852	LOC103818852	103818852
103818855	ENSSCAG00000014472	LIME1	Lck interacting transmembrane adaptor 1		LIME1	Lck interacting transmembrane adaptor 1	LIME1	LOC103818855	103818855
103818857	ENSSCAG00000014512	SAMD10	sterile alpha motif domain containing 10	SAMD10	SAMD10	sterile alpha motif domain containing 10	SAMD10	LOC103818857	103818857
103818860	ENSSCAG00000014539	SOX18	SRY-box transcription factor 18		SOX18	SRY-box transcription factor 18	SOX18	LOC103818860	103818860
103818861	ENSSCAG00000014560	NPBWR2	neuropeptides B and W receptor 2	NPBWR2	NPBWR2	neuropeptides B and W receptor 2	NPBWR2	LOC103818861	103818861
103818862	ENSSCAG00000000884	POPDC3	popeye domain containing 3	POPDC3	POPDC3	popeye domain containing 3	POPDC3	LOC103818862	103818862
103818866	ENSSCAG00000014804	SLC17A9	solute carrier family 17 member 9	SLC17A9	SLC17A9	solute carrier family 17 member 9	SLC17A9	LOC103818866	103818866
103818868	ENSSCAG00000014863	NTSR1	neurotensin receptor 1	NTSR1	NTSR1	neurotensin receptor 1	NTSR1	LOC103818868	103818868
103818873	ENSSCAG00000000898	BVES	blood vessel epicardial substance	BVES	BVES	blood vessel epicardial substance	BVES	LOC103818873	103818873
103818874	ENSSCAG00000015244	MTG2	mitochondrial ribosome associated GTPase 2	MTG2	MTG2	mitochondrial ribosome associated GTPase 2	MTG2	LOC103818874	103818874
103818878	ENSSCAG00000015284	ZNF831	zinc finger protein 831		ZNF831	zinc finger protein 831	ZNF831	LOC103818878	103818878
103818881	ENSSCAG00000015346	APCDD1L	APC down-regulated 1 like	APCDD1L	APCDD1L	APC down-regulated 1 like	APCDD1L	LOC103818881	103818881
103818882	ENSSCAG00000015370	CUNH20orf85	chromosome unknown C20orf85 homolog	CIMIP1	C20H20orf85	chromosome 20 C20orf85 homolog	C20H20orf85	C20H20orf85	C20H20orf85
103818885	ENSSCAG00000015435	CBLN4	cerebellin 4 precursor	CBLN4	CBLN4	cerebellin 4 precursor	CBLN4	LOC103818885	103818885
103818892	ENSSCAG00000015508	NFATC2	nuclear factor of activated T cells 2	NFATC2	NFATC2	nuclear factor of activated T cells 2	NFATC2	LOC103818892	103818892
103818896	ENSSCAG00000015563	LOC103818896	transmembrane protein 189		PEDS1	plasmanylethanolamine desaturase 1	PEDS1	LOC103818896	103818896
103818900	ENSSCAG00000015583	SLC9A8	solute carrier family 9 member A8	SLC9A8	SLC9A8	solute carrier family 9 member A8	SLC9A8	LOC103818900	103818900
103818901	ENSSCAG00000001013	GRIK2	glutamate ionotropic receptor kainate type subunit 2	GRIK2	GRIK2	glutamate ionotropic receptor kainate type subunit 2	GRIK2	LOC103818901	103818901
103818903	ENSSCAG00000015599	LOC103818903	somatomedin-B and thrombospondin type-1 domain-containing protein-like		LOC103818903	somatomedin-B and thrombospondin type-1 domain-containing protein-like	LOC103818903	LOC103818903	103818903
103818905	ENSSCAG00000015884	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	PREX1	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	PREX1	LOC103818905	103818905
103818906	ENSSCAG00000015924	NCOA3	nuclear receptor coactivator 3	NCOA3	NCOA3	nuclear receptor coactivator 3	NCOA3	LOC103818906	103818906
103818908	ENSSCAG00000015943	FBXW2	F-box and WD repeat domain containing 2	FBXW2	FBXW2	F-box and WD repeat domain containing 2	FBXW2	LOC103818908	103818908
103818909	ENSSCAG00000015955	ANGPTL2	angiopoietin like 2	ANGPTL2	ANGPTL2	angiopoietin like 2	ANGPTL2	LOC103818909	103818909
103818910	ENSSCAG00000015948	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	RALGPS1	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	RALGPS1	LOC103818910	103818910
103818911	ENSSCAG00000001112	ASCC3	activating signal cointegrator 1 complex subunit 3	ASCC3	ASCC3	activating signal cointegrator 1 complex subunit 3	ASCC3	LOC103818911	103818911
103818912	ENSSCAG00000015957	ZBTB34	zinc finger and BTB domain containing 34	ZBTB34	ZBTB34	zinc finger and BTB domain containing 34	ZBTB34	LOC103818912	103818912
103818914	ENSSCAG00000015964	MVB12B	multivesicular body subunit 12B	MVB12B	MVB12B	multivesicular body subunit 12B	MVB12B	LOC103818914	103818914
103818915	ENSSCAG00000015967	PBX3	PBX homeobox 3		PBX3	PBX homeobox 3	PBX3	LOC103818915	103818915
103818917	ENSSCAG00000015971	MAPKAP1	MAPK associated protein 1	MAPKAP1	MAPKAP1	MAPK associated protein 1	MAPKAP1	LOC103818917	103818917
103818919	ENSSCAG00000016115	HSPA5	heat shock protein family A (Hsp70) member 5	HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5	HSPA5	LOC103818919	103818919
103818920	ENSSCAG00000001136	SIM1	SIM bHLH transcription factor 1	SIM1	SIM1	SIM bHLH transcription factor 1	SIM1	LOC103818920	103818920
103818921	ENSSCAG00000016132	SCAI	suppressor of cancer cell invasion	SCAI	SCAI	suppressor of cancer cell invasion	SCAI	LOC103818921	103818921
103818923	ENSSCAG00000016141	OLFML2A	olfactomedin like 2A	OLFML2A	OLFML2A	olfactomedin like 2A	OLFML2A	LOC103818923	103818923
103818925	ENSSCAG00000016156	NEK6	NIMA related kinase 6	NEK6	NEK6	NIMA related kinase 6	NEK6	LOC103818925	103818925
103818926	ENSSCAG00000016158	LHX2	LIM homeobox 2	LHX2	LHX2	LIM homeobox 2	LHX2	LOC103818926	103818926
