task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1057	2b/a5874d	156735	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (ES28_Blue-098_Control-lipid_0)	CACHED	0	2022-07-15 00:16:21.125	31s	30s	148.5%	11.6 MB	209.7 MB	2.5 GB	1.3 MB
923	34/f5a25a	153999	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (ES102_SEM19-140_Control-lipid_21)	CACHED	0	2022-07-14 18:38:05.182	1m 38s	1m 36s	109.7%	1.2 MB	11 MB	129.5 MB	80.8 MB
1050	4e/f370ee	59067	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 12:21:01.135	11m	11m	149.3%	27.3 GB	44.9 GB	3.5 GB	2 GB
1075	e6/5e15ce	902	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (ES102_SEM19-140_Control-lipid_21)	CACHED	0	2022-07-15 15:08:37.489	15.1s	14s	98.0%	9 MB	38.9 MB	879.6 MB	46.8 MB
1002	a1/78d528	151121	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (ES30_Blue-098_Control-lipid_21)	CACHED	0	2022-07-15 20:09:30.029	3m 32s	3m 30s	102.6%	1.2 MB	11 MB	1.9 GB	1.6 KB
1067	fd/4a8d36	51176	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 12:18:41.868	14m 29s	14m 28s	146.7%	31.6 GB	44.8 GB	4.7 GB	2.7 GB
1054	ea/a67b18	59995	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES66_617_Control-protein_14)	CACHED	0	2022-07-14 02:24:11.538	1m 32s	1m 32s	552.3%	5.8 GB	6.4 GB	7.3 GB	17.3 MB
776	f5/d07ff7	191631	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONANNOTATION (ES12_209_MG-lipid_0)	CACHED	0	2022-07-15 20:25:37.010	2m 28s	2m 26s	106.3%	1.2 MB	11 MB	2.4 GB	42.6 MB
936	19/d2df2c	115219	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (ES101_SEM19-140_Control-lipid_14)	CACHED	0	2022-07-15 19:56:09.140	5m 20s	5m 19s	109.3%	1.2 MB	11 MB	4.8 GB	1.1 GB
1076	df/0f26f5	103602	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES63_Blue-035_MG-protein_21)	CACHED	0	2022-07-15 15:30:03.205	1m 15s	1m 15s	514.6%	5.5 GB	6.6 GB	6.4 GB	4.3 GB
1071	9d/a3c192	217757	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (ES30_Blue-098_Control-lipid_21)	CACHED	0	2022-07-16 13:04:13.534	4s	4s	98.4%	4.5 MB	18.6 MB	259.3 MB	259.1 MB
1016	1d/fddcee	55782	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES55_SEM19-74_MG-protein_21)	CACHED	0	2022-07-14 21:34:33.031	26m 3s	26m 3s	520.3%	14.9 GB	15.4 GB	121.6 GB	18.7 GB
1069	a7/9533cf	65331	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES3_48_Control-lipid_21)	CACHED	0	2022-07-14 00:15:14.596	1m 40s	1m 39s	551.6%	5.8 GB	6.4 GB	7.3 GB	17.3 MB
1063	3c/3e42e7	123553	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES89_Blue-049_Control-protein_0)	CACHED	0	2022-07-14 20:31:38.108	45.7s	45s	103.5%	13.5 GB	14.8 GB	11.9 GB	55.8 MB
1095	c8/565977	228858	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:06:34.555	24m 56s	24m 55s	105.3%	1.2 MB	11 MB	28.9 GB	25.9 GB
983	23/374619	27778	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (ES20_618_Control-lipid_0)	CACHED	0	2022-07-15 22:24:20.925	14.9s	13s	97.8%	20.5 MB	50.4 MB	841.8 MB	45 MB
1080	0b/43dcef	201031	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 21:56:35.060	17m 56s	17m 54s	107.4%	1.2 MB	11 MB	21.8 GB	19.5 GB
924	6c/f5ef35	203832	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ES33_101-LS_MG-lipid_0)	CACHED	0	2022-07-15 13:16:39.643	18m 58s	18m 56s	101.0%	1.2 MB	11 MB	62 GB	34.4 GB
1000	3f/c3baac	70930	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ES30_Blue-098_Control-lipid_21)	CACHED	0	2022-07-15 14:07:45.613	11m 34s	11m 32s	101.6%	632.2 MB	4.8 GB	34.2 GB	16.9 GB
1056	f2/4048df	5629	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (ES28_Blue-098_Control-lipid_0)	CACHED	0	2022-07-15 10:50:47.544	9m 20s	9m 20s	99.7%	2.2 GB	2.7 GB	2.5 GB	501.2 KB
1088	bb/f98365	229312	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INFEREXPERIMENT (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:06:39.280	4.7s	3s	243.4%	1.2 MB	11 MB	32.8 MB	716 B
1078	25/6b2047	247228	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 16:06:51.459	20.8s	20s	175.0%	10.3 MB	209.7 MB	2 GB	1.2 MB
1061	91/d396f8	237949	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES39_LD19-239_MG-lipid_14)	CACHED	0	2022-07-14 19:34:15.313	1m 13s	1m 12s	530.6%	5.5 GB	6.6 GB	6.8 GB	4.5 GB
1100	c0/fd46f1	230040	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:06:43.959	4m 43s	4m 42s	102.0%	1.2 MB	11 MB	2.7 GB	1.6 KB
967	c0/cbbe14	143437	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (ES36_AR17-21_MG-lipid_0)	CACHED	0	2022-07-16 12:35:33.034	4.4s	4s	93.9%	4.5 MB	18.6 MB	260.2 MB	260 MB
1084	41/836fae	180229	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 21:49:29.203	2m 33s	2m 32s	103.8%	1.2 MB	11 MB	2 GB	1.2 KB
997	30/123948	261785	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (ES102_SEM19-140_Control-lipid_21)	CACHED	0	2022-07-15 15:08:21.916	15.6s	14s	99.4%	1.2 MB	11 MB	888.1 MB	47 MB
1038	1c/8def58	246662	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (ES27_619_MG-lipid_21)	CACHED	0	2022-07-15 19:20:20.498	4m 58s	4m 58s	119.0%	741.6 MB	1 GB	2.5 GB	178.9 MB
882	04/ba8d79	143953	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (ES36_AR17-21_MG-lipid_0)	CACHED	0	2022-07-16 12:35:37.487	4.2s	4s	98.3%	4.5 MB	18.6 MB	258.5 MB	258.4 MB
941	4e/512243	28848	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 06:31:38.052	2m 40s	2m 39s	104.1%	40.9 MB	1.1 GB	2.1 GB	1.2 KB
1105	8e/1fee82	260201	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES44_Blue-015_MG-lipid_0)	CACHED	0	2022-07-14 00:04:46.349	1m 51s	1m 50s	566.4%	5.8 GB	6.4 GB	7.7 GB	17.3 MB
1092	d2/fd8fde	225926	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:05:39.039	7m 19s	7m 17s	101.8%	1.2 MB	11 MB	2.7 GB	188 KB
987	a8/83bbf6	219174	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES67_Blue-037_MG-protein_0)	CACHED	0	2022-07-14 17:33:47.865	29m 19s	29m 18s	519.4%	14.9 GB	15.4 GB	129.5 GB	21 GB
1106	4c/65b8de	10073	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES89_Blue-049_Control-protein_0)	CACHED	0	2022-07-15 09:55:01.536	1.1s	0ms	282.7%	4 MB	4.8 GB	7.6 MB	5.7 MB
953	35/6ee86e	195391	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES41_Blue-013_Control-protein_0)	CACHED	0	2022-07-14 10:54:27.105	32m 15s	32m 14s	511.6%	14.9 GB	15.4 GB	153.8 GB	24.1 GB
809	59/aed101	59943	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES61_Blue-035_MG-protein_0)	CACHED	0	2022-07-14 21:35:09.090	28m 46s	28m 46s	553.6%	14.9 GB	15.4 GB	124.8 GB	19.3 GB
1099	4e/2b179b	175445	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 21:47:54.551	3m 37s	3m 36s	102.3%	1.2 MB	11 MB	2.1 GB	1.6 KB
1112	4d/db8a54	92250	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES69_Blue-037_MG-protein_21)	CACHED	0	2022-07-14 01:03:16.567	1m 44s	1m 44s	568.8%	5.8 GB	6.4 GB	7.3 GB	17.3 MB
1108	55/d9626f	111838	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES51_Blue-024_Control-protein_21)	CACHED	0	2022-07-13 22:53:20.031	1m 36s	1m 34s	539.9%	5.8 GB	6.4 GB	7.1 GB	17.2 MB
781	d2/9617f3	201912	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (ES12_209_MG-lipid_0)	CACHED	0	2022-07-15 20:29:45.338	5m 32s	5m 31s	117.9%	830.3 MB	1.1 GB	2.7 GB	179.8 MB
1058	cb/f8510f	19638	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES64_SEM19-1481_MG-lipid_21)	CACHED	0	2022-07-15 02:20:48.380	40m 9s	40m 8s	615.7%	14.9 GB	15.4 GB	147 GB	22.8 GB
1087	9f/4b0ba8	199807	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INFEREXPERIMENT (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 21:56:25.764	4.3s	2s	323.4%	1.2 MB	11 MB	33.3 MB	716 B
1098	59/f9ead0	249485	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 16:07:12.244	27.7s	27s	179.5%	11.9 MB	209.7 MB	2.7 GB	1.2 MB
943	6c/32a71d	249780	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (ES27_619_MG-lipid_21)	CACHED	0	2022-07-15 10:46:30.049	7m 58s	7m 57s	99.7%	2.2 GB	2.2 GB	2 GB	500.8 KB
946	ff/052671	122089	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (ES101_SEM19-140_Control-lipid_14)	CACHED	0	2022-07-15 19:58:48.640	5m 41s	5m 39s	102.5%	1.2 MB	11 MB	2.2 GB	179.6 KB
1029	2a/e0eac9	237213	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (ES27_619_MG-lipid_21)	CACHED	0	2022-07-15 19:15:09.170	5m 43s	5m 41s	102.6%	1.2 MB	11 MB	2.2 GB	182.6 KB
1077	33/ad743e	188660	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 21:52:02.089	1m 40s	1m 39s	108.2%	1 MB	11 MB	126.1 MB	80.8 MB
905	e0/e26cd9	81337	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (ES33_101-LS_MG-lipid_0)	CACHED	0	2022-07-15 15:27:35.312	23.9s	23s	180.2%	10.9 MB	209.7 MB	2.3 GB	1.2 MB
773	a1/4ea761	190886	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (ES36_AR17-21_MG-lipid_0)	CACHED	0	2022-07-15 17:11:54.613	5m 14s	5m 13s	118.2%	744 MB	1.1 GB	2.5 GB	180.1 MB
1117	a6/0fdfe3	105857	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES67_Blue-037_MG-protein_0)	CACHED	0	2022-07-15 00:07:35.391	1m 12s	1m 10s	517.5%	5.5 GB	6.6 GB	6.5 GB	4.4 GB
1036	db/617c04	132429	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ES27_619_MG-lipid_21)	CACHED	0	2022-07-15 12:42:50.671	16m	15m 58s	100.9%	1.2 MB	11 MB	50 GB	26.7 GB
1116	94/76dca0	68944	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (ES89_Blue-049_Control-protein_0)	CACHED	0	2022-07-15 15:26:05.747	603ms	0ms	103.5%	4.2 MB	209.7 MB	5.9 MB	563.3 KB
1022	03/171f51	167026	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES48_Blue-45_MG-protein_14)	CACHED	0	2022-07-14 20:32:23.799	31m 26s	31m 25s	503.1%	14.9 GB	15.4 GB	143.7 GB	22.6 GB
859	ee/a2233e	137494	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (ES2_48_Control-lipid_14)	CACHED	0	2022-07-15 21:32:31.655	2m 47s	2m 46s	103.6%	1.2 MB	11 MB	2.3 GB	1.2 KB
1047	c2/5380a7	235444	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES16_601_Control-protein_21)	CACHED	0	2022-07-14 17:35:57.730	1m 20s	1m 19s	522.9%	5.5 GB	6.6 GB	6.9 GB	4.5 GB
814	5e/7a4604	202680	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES40_LD19-239_MG-lipid_21)	CACHED	0	2022-07-14 19:25:01.342	35m 52s	35m 52s	519.3%	14.9 GB	15.4 GB	164.8 GB	25.9 GB
972	83/4116e1	198486	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (ES23_Blue-010_Control-lipid_0)	CACHED	0	2022-07-14 07:35:19.238	2m 55s	2m 54s	103.3%	1.2 MB	11 MB	2.3 GB	1.2 KB
948	6b/dd3e7a	85110	NFCORE_RNASEQ:RNASEQ:DUPRADAR (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 06:04:12.007	16m 41s	16m 38s	100.9%	660.1 MB	4.8 GB	49.9 GB	26.2 GB
1109	00/6274c0	130388	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES55_SEM19-74_MG-protein_21)	CACHED	0	2022-07-15 12:42:22.164	1m 2s	1m 2s	511.7%	5.5 GB	6.6 GB	5.5 GB	3.6 GB
1114	77/78ebe3	142848	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (ES39_LD19-239_MG-lipid_14)	CACHED	0	2022-07-15 00:14:51.875	22.6s	22s	173.5%	11.7 MB	209.7 MB	2.2 GB	1.2 MB
937	8a/a7ba51	99913	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 06:05:47.311	5m 15s	5m 13s	110.1%	1.2 MB	11 MB	4.8 GB	1.1 GB
895	8c/34bc56	52776	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (ES33_101-LS_MG-lipid_0)	CACHED	0	2022-07-15 19:39:51.553	2m 56s	2m 55s	103.4%	41.1 MB	1.1 GB	2.3 GB	1.2 KB
951	50/ac7fa6	6648	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 06:27:36.519	3m 56s	3m 55s	102.5%	494.2 MB	1.6 GB	2.2 GB	1.6 KB
1042	f4/8b6975	243402	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (ES27_619_MG-lipid_21)	CACHED	0	2022-07-15 19:18:53.029	1m 36s	1m 34s	109.4%	1.2 MB	11 MB	142 MB	80.8 MB
1122	a1/ae21d5	204747	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (ES39_LD19-239_MG-lipid_14)	CACHED	0	2022-07-15 00:20:42.604	8m 15s	8m 15s	99.8%	1.6 GB	1.7 GB	2.2 GB	492.6 KB
1097	66/df91b9	222376	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:04:43.866	5m 6s	5m 5s	121.4%	740.2 MB	1 GB	3 GB	180.7 MB
1073	fa/38b319	165433	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES54_SEM19-74_MG-protein_14)	CACHED	0	2022-07-14 14:28:43.635	34m 57s	34m 56s	579.0%	14.9 GB	15.4 GB	138.4 GB	21 GB
1093	97/dbd286	209003	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:00:11.426	6m 28s	6m 27s	108.9%	1.2 MB	11 MB	5.9 GB	1.2 GB
1111	7a/f5ffd6	101912	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES69_Blue-037_MG-protein_21)	CACHED	0	2022-07-14 21:03:50.171	31m 19s	31m 18s	584.7%	14.9 GB	15.4 GB	124.7 GB	20.1 GB
1128	06/d2a30c	202040	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (ES16_601_Control-protein_21)	CACHED	0	2022-07-14 18:08:44.031	23.3s	23s	168.7%	11.2 MB	209.7 MB	2.2 GB	1.2 MB
986	3f/bb2fbb	122170	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES42_Blue-013_Control-protein_14)	CACHED	0	2022-07-14 19:14:45.651	36m 50s	36m 47s	599.5%	14.9 GB	15.4 GB	135.9 GB	21.4 GB
903	5e/69ddea	109235	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES38_AR17-21_MG-lipid_21)	CACHED	0	2022-07-14 19:51:35.792	31m 25s	31m 23s	545.2%	14.9 GB	15.4 GB	137.2 GB	21.5 GB
985	5e/505fea	94725	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES47_Blue-45_MG-protein_0)	CACHED	0	2022-07-14 21:02:47.663	31m 45s	31m 44s	557.9%	14.9 GB	15.4 GB	136.6 GB	21.4 GB
1104	fe/077347	178198	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES44_Blue-015_MG-lipid_0)	CACHED	0	2022-07-14 18:03:06.527	33m 51s	33m 50s	521.9%	14.9 GB	15.4 GB	154.6 GB	24.4 GB
1132	df/e715dd	163123	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES40_LD19-239_MG-lipid_21)	CACHED	0	2022-07-15 08:59:55.355	1m 35s	1m 35s	505.3%	5.5 GB	6.6 GB	8 GB	5.3 GB
1011	5a/1f091a	173569	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES6_164_Control-protein_21)	CACHED	0	2022-07-15 03:28:28.885	29m 24s	29m 17s	538.4%	14.9 GB	15.4 GB	127.9 GB	20.4 GB
1137	e8/e71937	38577	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 07:17:24.025	4.6s	4s	95.5%	4.5 MB	18.6 MB	280.8 MB	280.6 MB
1025	cf/ed3204	13763	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES62_Blue-035_MG-protein_14)	CACHED	0	2022-07-14 23:56:42.845	33m 31s	33m 30s	542.0%	14.9 GB	15.4 GB	138.3 GB	22 GB
1085	9f/0d3654	200406	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (ES53_SEM19-74_MG-protein_0)	CACHED	0	2022-07-15 21:56:30.080	5m 29s	5m 27s	102.7%	1.2 MB	11 MB	2 GB	181.1 KB
1145	82/8ffe52	255443	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES81_Blue-047_Control-lipid_0)	CACHED	0	2022-07-14 04:11:46.404	1m 50s	1m 50s	556.8%	5.8 GB	6.4 GB	7.4 GB	17.3 MB
1138	6a/f2c825	245556	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES54_SEM19-74_MG-protein_14)	CACHED	0	2022-07-14 20:52:38.952	1m 21s	1m 20s	479.2%	5.5 GB	6.6 GB	6.4 GB	4.3 GB
1139	3c/f18fa4	4690	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (ES105_625_Control-lipid_21)	CACHED	0	2022-07-16 13:19:43.068	4.9s	4s	98.1%	4.5 MB	18.6 MB	317 MB	316.9 MB
1136	80/c228c5	37407	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 07:17:19.132	4.9s	4s	97.6%	4.5 MB	18.6 MB	278.9 MB	278.7 MB
1013	f1/e2d8fd	49781	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (ES25_619_MG-lipid_0)	CACHED	0	2022-07-15 16:17:44.832	13.8s	12s	97.6%	23.6 MB	53.5 MB	769.9 MB	41.3 MB
1096	58/85e930	215051	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONANNOTATION (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:01:58.641	2m 57s	2m 56s	104.7%	1 MB	11 MB	2.7 GB	45.9 MB
1141	61/8446df	126399	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES69_Blue-037_MG-protein_21)	CACHED	0	2022-07-15 12:41:12.067	1m 10s	1m 10s	512.5%	5.5 GB	6.6 GB	6.4 GB	4.4 GB
1140	37/c1859e	5121	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (ES105_625_Control-lipid_21)	CACHED	0	2022-07-16 13:19:47.995	5.2s	4s	95.6%	4.5 MB	18.6 MB	313.8 MB	313.6 MB
1148	72/8c79d8	64881	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (ES40_LD19-239_MG-lipid_21)	CACHED	0	2022-07-15 15:25:40.372	25.4s	25s	174.7%	11.7 MB	209.7 MB	2.4 GB	1.2 MB
1146	6d/fc5b96	122498	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (ES47_Blue-45_MG-protein_0)	CACHED	0	2022-07-15 12:40:00.366	1m 12s	1m 11s	520.8%	5.5 GB	6.6 GB	6.6 GB	4.5 GB
1110	18/9834f0	8285	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (ES51_Blue-024_Control-protein_21)	CACHED	0	2022-07-14 14:03:33.182	26m 14s	26m 13s	536.8%	14.9 GB	15.4 GB	121.8 GB	18.6 GB
1159	91/9d9cd1	127253	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (ES57_Blue-031_MG-lipid_0)	CACHED	0	2022-07-14 01:51:24.399	1m 41s	1m 40s	586.5%	5.8 GB	6.4 GB	7.7 GB	17.3 MB
1090	ce/6a3170	213679	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONSATURATION (ES105_625_Control-lipid_21)	CACHED	0	2022-07-15 22:01:38.389	4m 1s	3m 59s	103.7%	1.2 MB	11 MB	2.7 GB	16.9 KB
779	6b/ed1e8c	203084	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONANNOTATION (ES22_618_Control-lipid_21)	CACHED	0	2022-07-15 18:58:19.501	2m 17s	2m 16s	107.3%	1.2 MB	11 MB	2.3 GB	45 MB
1155	00/ded15a	185591	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (ES54_SEM19-74_MG-protein_14)	CACHED	0	2022-07-15 11:38:50.519	11m 20s	11m 20s	148.1%	27.8 GB	44.9 GB	3.7 GB	2.1 GB
978	86/40fbfd	188102	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONSATURATION (ES10_172_Control-protein_14)	CACHED	0	2022-07-14 06:18:18.204	3m 27s	3m 25s	103.5%	1.2 MB	11 MB	2.1 GB	16.8 KB
