Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES50_Blue-024_Control-protein_14_1	ES50_Blue-024_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39381819.0	0.0	20-50	52.0	18.81128857482955	49.55837555395804	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES50_Blue-024_Control-protein_14_2	ES50_Blue-024_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39381819.0	0.0	20-50	56.0	21.802989982332445	49.311339047086676	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES51_Blue-024_Control-protein_21_1	ES51_Blue-024_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38246257.0	0.0	20-50	53.0	18.406493071758064	49.558839130323264	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES51_Blue-024_Control-protein_21_2	ES51_Blue-024_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38246257.0	0.0	20-50	57.0	21.850635433301456	49.32695408599069	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES52_SEM19-1481_MG-lipid_14_1	ES52_SEM19-1481_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45008389.0	0.0	20-50	53.0	21.143186353513258	49.55846864458979	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES52_SEM19-1481_MG-lipid_14_2	ES52_SEM19-1481_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45008389.0	0.0	20-50	56.0	24.91653566844556	49.29256190440409	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES53_SEM19-74_MG-protein_0_1	ES53_SEM19-74_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41111599.0	0.0	20-50	53.0	19.51328209939381	49.569401253402965	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES53_SEM19-74_MG-protein_0_2	ES53_SEM19-74_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41111599.0	0.0	20-50	57.0	23.152230458456007	49.33593560785607	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES54_SEM19-74_MG-protein_14_1	ES54_SEM19-74_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42613093.0	0.0	20-50	53.0	19.56745923355055	49.559367492990944	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES54_SEM19-74_MG-protein_14_2	ES54_SEM19-74_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42613093.0	0.0	20-50	56.0	22.46492623754772	49.33594414280137	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES55_SEM19-74_MG-protein_21_1	ES55_SEM19-74_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37985500.0	0.0	20-50	51.0	20.7479246418287	49.543354674810125	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES55_SEM19-74_MG-protein_21_2	ES55_SEM19-74_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37985500.0	0.0	20-50	56.0	24.283998469215447	49.298705900935886	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES56_Blue-050_Control-lipid_21_1	ES56_Blue-050_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48539101.0	0.0	20-50	54.0	18.350626211240115	49.5723120417908	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES56_Blue-050_Control-lipid_21_2	ES56_Blue-050_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48539101.0	0.0	20-50	58.0	21.87000770149164	49.307477058547086	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES57_Blue-031_MG-lipid_0_1	ES57_Blue-031_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52601510.0	0.0	20-50	54.0	16.067965083838924	49.57349454416803	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES57_Blue-031_MG-lipid_0_2	ES57_Blue-031_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52601510.0	0.0	20-50	57.0	18.577264148144103	49.397634326467056	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES58_Blue-032_MG-protein_0_1	ES58_Blue-032_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49924149.0	0.0	20-50	52.0	18.624880323689545	49.55076371957787	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES58_Blue-032_MG-protein_0_2	ES58_Blue-032_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49924149.0	0.0	20-50	56.0	21.72264576246781	49.31128923199071	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES59_Blue-032_MG-protein_14_1	ES59_Blue-032_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47179598.0	0.0	20-50	53.0	19.300599901463748	49.557201928681124	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES59_Blue-032_MG-protein_14_2	ES59_Blue-032_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47179598.0	0.0	20-50	56.0	22.466948900057577	49.299801855030644	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES5_164_Control-protein_14_1	ES5_164_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42016396.0	0.0	20-50	53.0	21.45808072763972	49.56693820193431	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES5_164_Control-protein_14_2	ES5_164_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42016396.0	0.0	20-50	56.0	24.47783319570276	49.350035852670466	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES60_Blue-032_MG-protein_21_1	ES60_Blue-032_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42423466.0	0.0	20-50	52.0	20.062551081570117	49.55678791072847	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES60_Blue-032_MG-protein_21_2	ES60_Blue-032_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42423466.0	0.0	20-50	56.0	23.66074167621765	49.29248520146845	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES61_Blue-035_MG-protein_0_1	ES61_Blue-035_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38833828.0	0.0	20-50	53.0	23.299840284635486	49.56182753860887	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES61_Blue-035_MG-protein_0_2	ES61_Blue-035_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38833828.0	0.0	20-50	56.0	26.220710836056156	49.35944295782533	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES62_Blue-035_MG-protein_14_1	ES62_Blue-035_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44461260.0	0.0	20-50	53.0	21.7754303115117	49.56256433128526	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES62_Blue-035_MG-protein_14_2	ES62_Blue-035_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44461260.0	0.0	20-50	56.0	25.415986258271428	49.31387794677884	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES63_Blue-035_MG-protein_21_1	ES63_Blue-035_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40924838.0	0.0	20-50	53.0	22.6269780134453	49.56623302943802	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES63_Blue-035_MG-protein_21_2	ES63_Blue-035_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40924838.0	0.0	20-50	57.0	26.460241007228625	49.348357176148134	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES64_SEM19-1481_MG-lipid_21_1	ES64_SEM19-1481_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46288452.0	0.0	20-50	53.0	19.637140109884978	49.56384320218788	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES64_SEM19-1481_MG-lipid_21_2	ES64_SEM19-1481_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46288452.0	0.0	20-50	57.0	22.998119112602744	49.33451326045641	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES65_106_NA_0_1	ES65_106_NA_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45434465.0	0.0	20-50	54.0	18.50559230649625	49.56682745136319	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES65_106_NA_0_2	ES65_106_NA_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45434465.0	0.0	20-50	57.0	22.102319658202727	49.31281275128914	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES66_617_Control-protein_14_1	ES66_617_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42894801.0	0.0	20-50	53.0	17.952541918291466	49.561620043417385	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES66_617_Control-protein_14_2	ES66_617_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42894801.0	0.0	20-50	57.0	21.930620871963697	49.281482877144015	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES67_Blue-037_MG-protein_0_1	ES67_Blue-037_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42665345.0	0.0	20-50	51.0	23.07008072782931	49.54793767635068	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES67_Blue-037_MG-protein_0_2	ES67_Blue-037_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42665345.0	0.0	20-50	55.0	26.129137525114487	49.271660290101956	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES68_Blue-037_MG-protein_14_1	ES68_Blue-037_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38449776.0	0.0	20-50	52.0	23.698886624845297	49.55581208067376	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES68_Blue-037_MG-protein_14_2	ES68_Blue-037_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38449776.0	0.0	20-50	56.0	27.45916383894132	49.29394943679256	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES69_Blue-037_MG-protein_21_1	ES69_Blue-037_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41173395.0	0.0	20-50	51.0	24.198611327492966	49.55066399066679	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES69_Blue-037_MG-protein_21_2	ES69_Blue-037_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41173395.0	0.0	20-50	55.0	27.345884328214755	49.325451496044955	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES6_164_Control-protein_21_1	ES6_164_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41216864.0	0.0	20-50	52.0	23.48579931381446	49.55942109035758	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES6_164_Control-protein_21_2	ES6_164_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41216864.0	0.0	20-50	56.0	26.786382925647523	49.33721837740979	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES70_Blue-039_Control-lipid_0_1	ES70_Blue-039_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54651863.0	0.0	20-50	53.0	17.840844452274617	49.56289978623418	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES70_Blue-039_Control-lipid_0_2	ES70_Blue-039_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54651863.0	0.0	20-50	57.0	20.712687831136172	49.351669768329764	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES71_Blue-039_Control-lipid_14_1	ES71_Blue-039_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38776805.0	0.0	20-50	52.0	20.26494273165055	49.557604526726735	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES71_Blue-039_Control-lipid_14_2	ES71_Blue-039_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38776805.0	0.0	20-50	56.0	23.1831936400688	49.33184464269297	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES72_Blue-039_Control-lipid_21_1	ES72_Blue-039_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43083019.0	0.0	20-50	52.0	19.034625256851673	49.55310309149876	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES72_Blue-039_Control-lipid_21_2	ES72_Blue-039_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43083019.0	0.0	20-50	56.0	23.15279777914314	49.287192849693284	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES73_Blue-042_MG-protein_0_1	ES73_Blue-042_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53531604.0	0.0	20-50	53.0	17.010198154753823	49.56749028106836	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES73_Blue-042_MG-protein_0_2	ES73_Blue-042_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53531604.0	0.0	20-50	57.0	20.560805012791462	49.32107272556227	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES74_Blue-042_MG-protein_14_1	ES74_Blue-042_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50322130.0	0.0	20-50	52.0	18.912163979015343	49.557813769011766	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES74_Blue-042_MG-protein_14_2	ES74_Blue-042_MG-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50322130.0	0.0	20-50	56.0	23.168198133848914	49.301909418381136	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES75_Blue-042_MG-protein_21_1	ES75_Blue-042_MG-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48368855.0	0.0	20-50	53.0	17.559718298529837	49.56483389983079	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES75_Blue-042_MG-protein_21_2	ES75_Blue-042_MG-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48368855.0	0.0	20-50	57.0	20.47730864129361	49.362062695095844	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES76_Blue-043_MG-lipid_0_1	ES76_Blue-043_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41340465.0	0.0	20-50	53.0	22.363237086833447	49.55707808318073	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES76_Blue-043_MG-lipid_0_2	ES76_Blue-043_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41340465.0	0.0	20-50	56.0	25.10023318181686	49.32632281712361	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES77_Blue-043_MG-lipid_14_1	ES77_Blue-043_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46418732.0	0.0	20-50	53.0	23.34172857172103	49.55741376132377	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES77_Blue-043_MG-lipid_14_2	ES77_Blue-043_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46418732.0	0.0	20-50	56.0	25.55934931755762	49.34439350906871	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES78_Blue-043_MG-lipid_21_1	ES78_Blue-043_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50520584.0	0.0	20-50	52.0	22.804117075886392	49.55542538859012	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES78_Blue-043_MG-lipid_21_2	ES78_Blue-043_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50520584.0	0.0	20-50	56.0	24.95560303384062	49.36841634688942	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES79_Blue-050_Control-lipid_0_1	ES79_Blue-050_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39342085.0	0.0	20-50	53.0	21.80529484720872	49.553588224925036	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES79_Blue-050_Control-lipid_0_2	ES79_Blue-050_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39342085.0	0.0	20-50	56.0	25.6169709519807	49.30811432591842	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES7_SEM19-1354_Control-protein_14_1	ES7_SEM19-1354_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43283956.0	0.0	20-50	53.0	20.624165213975612	49.56060240889257	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES7_SEM19-1354_Control-protein_14_2	ES7_SEM19-1354_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43283956.0	0.0	20-50	56.0	22.85039987572759	49.363576471614564	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES80_Blue-050_Control-lipid_14_1	ES80_Blue-050_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42199564.0	0.0	20-50	53.0	19.17243585733391	49.56206350852345	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES80_Blue-050_Control-lipid_14_2	ES80_Blue-050_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42199564.0	0.0	20-50	57.0	23.221060852353855	49.309206867634934	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES81_Blue-047_Control-lipid_0_1	ES81_Blue-047_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45266666.0	0.0	20-50	53.0	18.15117106309899	49.5700014001473	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES81_Blue-047_Control-lipid_0_2	ES81_Blue-047_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45266666.0	0.0	20-50	57.0	22.027679636602503	49.2964854756478	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES82_Blue-047_Control-lipid_14_1	ES82_Blue-047_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29937982.0	0.0	20-50	57.0	18.503917090871806	49.587917248397034	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES82_Blue-047_Control-lipid_14_2	ES82_Blue-047_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29937982.0	0.0	20-50	60.0	22.982297845309574	49.29203351114314	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES83_SEM19-1481_MG-lipid_0_1	ES83_SEM19-1481_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46928295.0	0.0	20-50	53.0	19.632062715040526	49.56549695658025	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES83_SEM19-1481_MG-lipid_0_2	ES83_SEM19-1481_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46928295.0	0.0	20-50	57.0	22.536500409201537	49.32967483689744	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES84_LD19-239_MG-lipid_0_1	ES84_LD19-239_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46385965.0	0.0	20-50	52.0	20.557258785626342	49.55665240552827	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES84_LD19-239_MG-lipid_0_2	ES84_LD19-239_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46385965.0	0.0	20-50	56.0	23.840169188349712	49.33417448575232	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES85_orange-24_Control-protein_0_1	ES85_orange-24_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44924455.0	0.0	20-50	54.0	20.632520117013232	49.5672255790304	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES85_orange-24_Control-protein_0_2	ES85_orange-24_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44924455.0	0.0	20-50	57.0	22.862189823810088	49.37197245909828	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES86_orange-24_Control-protein_14_1	ES86_orange-24_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35479599.0	0.0	20-50	54.0	20.82528451882467	49.563563218400525	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES86_orange-24_Control-protein_14_2	ES86_orange-24_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35479599.0	0.0	20-50	57.0	23.201569453154175	49.356001092346055	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES87_orange-24_Control-protein_21_1	ES87_orange-24_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43715258.0	0.0	20-50	54.0	19.936804766338454	49.56655305568596	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES87_orange-24_Control-protein_21_2	ES87_orange-24_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43715258.0	0.0	20-50	57.0	22.42762620010762	49.36049836420958	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES88_610_MG-protein_0_1	ES88_610_MG-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48841701.0	0.0	20-50	54.0	18.86590506408835	49.577303747058274	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES88_610_MG-protein_0_2	ES88_610_MG-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48841701.0	0.0	20-50	57.0	21.12236137591062	49.398063060907724	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES89_Blue-049_Control-protein_0_1	ES89_Blue-049_Control-protein_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	110883.0	0.0	20-50	49.0	36.19580999792574	49.32486494773771	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ES89_Blue-049_Control-protein_0_2	ES89_Blue-049_Control-protein_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	110883.0	0.0	20-50	60.0	39.108790346581536	48.26915758051279	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ES8_SEM19-1354_Control-protein_21_1	ES8_SEM19-1354_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45823071.0	0.0	20-50	53.0	20.790671922154623	49.564900811645735	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES8_SEM19-1354_Control-protein_21_2	ES8_SEM19-1354_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45823071.0	0.0	20-50	56.0	23.672527527320582	49.34388688178494	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES90_Blue-049_Control-protein_14_1	ES90_Blue-049_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44500149.0	0.0	20-50	53.0	18.579576059483724	49.560989110396015	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES90_Blue-049_Control-protein_14_2	ES90_Blue-049_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44500149.0	0.0	20-50	57.0	22.24193496859328	49.267791934809026	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES91_Blue-049_Control-protein_21_1	ES91_Blue-049_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42408940.0	0.0	20-50	53.0	18.72008123844034	49.5553407606981	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES91_Blue-049_Control-protein_21_2	ES91_Blue-049_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42408940.0	0.0	20-50	57.0	22.100086098753607	49.32227329897894	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES92_SEM19-76_MG-lipid_0_1	ES92_SEM19-76_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49416484.0	0.0	20-50	53.0	17.05957766664985	49.56644983078925	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES92_SEM19-76_MG-lipid_0_2	ES92_SEM19-76_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49416484.0	0.0	20-50	57.0	20.918678825190582	49.27736945024255	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES93_SEM19-76_MG-lipid_14_1	ES93_SEM19-76_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47810487.0	0.0	20-50	53.0	19.1973561428329	49.559710174046124	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES93_SEM19-76_MG-lipid_14_2	ES93_SEM19-76_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47810487.0	0.0	20-50	57.0	22.36713536873301	49.34551586977142	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES94_SEM19-76_MG-lipid_21_1	ES94_SEM19-76_MG-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49289910.0	0.0	20-50	52.0	18.135985514998488	49.548951032777296	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES94_SEM19-76_MG-lipid_21_2	ES94_SEM19-76_MG-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49289910.0	0.0	20-50	56.0	21.33115107511224	49.290758189657886	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES95_610_MG-protein_14_1	ES95_610_MG-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49804441.0	0.0	20-50	53.0	19.987084002971397	49.56511864072523	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
